Generation: 1
1, 18, 2.5, {'epochs': 1, 'units1': 32, 'act1': 'relu', 'units2': 47, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -48.5, {'epochs': 5, 'units1': 38, 'act1': 'relu', 'units2': 31, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 20, 10.5, {'epochs': 4, 'units1': 5, 'act1': 'tanh', 'units2': 47, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -6.5, {'epochs': 5, 'units1': 28, 'act1': 'relu', 'units2': 19, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -8.0, {'epochs': 3, 'units1': 2, 'act1': 'relu', 'units2': 2, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -51.0, {'epochs': 3, 'units1': 21, 'act1': 'softmax', 'units2': 36, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -58.0, {'epochs': 12, 'units1': 9, 'act1': 'softmax', 'units2': 30, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -46.5, {'epochs': 14, 'units1': 32, 'act1': 'sigmoid', 'units2': 38, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -8.0, {'epochs': 8, 'units1': 18, 'act1': 'linear', 'units2': 6, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -5.0, {'epochs': 2, 'units1': 8, 'act1': 'linear', 'units2': 46, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -37.0, {'epochs': 8, 'units1': 41, 'act1': 'linear', 'units2': 15, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -10.5, {'epochs': 5, 'units1': 42, 'act1': 'sigmoid', 'units2': 42, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 31, -14.0, {'epochs': 12, 'units1': 8, 'act1': 'elu', 'units2': 20, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -51.5, {'epochs': 1, 'units1': 19, 'act1': 'sigmoid', 'units2': 8, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -6.5, {'epochs': 13, 'units1': 22, 'act1': 'selu', 'units2': 43, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -2.0, {'epochs': 3, 'units1': 27, 'act1': 'linear', 'units2': 17, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -2.0, {'epochs': 7, 'units1': 45, 'act1': 'tanh', 'units2': 38, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -49.0, {'epochs': 3, 'units1': 44, 'act1': 'elu', 'units2': 3, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -50.5, {'epochs': 13, 'units1': 38, 'act1': 'softmax', 'units2': 39, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -2.0, {'epochs': 8, 'units1': 7, 'act1': 'linear', 'units2': 34, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
Generation: 2
1, 33, -2.5, {'epochs': 51, 'units1': 92, 'act1': 'tanh', 'units2': 49, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -2.0, {'epochs': 1, 'units1': 32, 'act1': 'relu', 'units2': 47, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -15.0, {'epochs': 3, 'units1': 27, 'act1': 'linear', 'units2': 17, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -16.5, {'epochs': 7, 'units1': 45, 'act1': 'tanh', 'units2': 38, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 22, 4.5, {'epochs': 3, 'units1': 13, 'act1': 'selu', 'units2': 32, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 4, 'units1': 23, 'act1': 'sigmoid', 'units2': 30, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -36.0, {'epochs': 4, 'units1': 23, 'act1': 'sigmoid', 'units2': 30, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -11.5, {'epochs': 3, 'units1': 13, 'act1': 'selu', 'units2': 32, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 14, 7.0, {'epochs': 2, 'units1': 10, 'act1': 'selu', 'units2': 34, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -50.0, {'epochs': 1, 'units1': 17, 'act1': 'elu', 'units2': 34, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
