Generation: 1
2, 68, 102.5, {'epochs': 6, 'units1': 48, 'act1': 'selu', 'units2': 11, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -51.5, {'epochs': 1, 'units1': 37, 'act1': 'linear', 'units2': 5, 'act2': 'elu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 19, -18.5, {'epochs': 1, 'units1': 4, 'act1': 'softmax', 'units2': 26, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 191, -41.5, {'epochs': 12, 'units1': 27, 'act1': 'linear', 'units2': 27, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -11.0, {'epochs': 12, 'units1': 25, 'act1': 'tanh', 'units2': 16, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -9.5, {'epochs': 13, 'units1': 42, 'act1': 'sigmoid', 'units2': 4, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 31, -19.0, {'epochs': 13, 'units1': 38, 'act1': 'sigmoid', 'units2': 36, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -2.0, {'epochs': 13, 'units1': 36, 'act1': 'tanh', 'units2': 1, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 8, -10.5, {'epochs': 8, 'units1': 25, 'act1': 'relu', 'units2': 37, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -10.5, {'epochs': 5, 'units1': 40, 'act1': 'selu', 'units2': 30, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 64, -16.0, {'epochs': 6, 'units1': 9, 'act1': 'tanh', 'units2': 14, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 75, -39.0, {'epochs': 11, 'units1': 30, 'act1': 'elu', 'units2': 3, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -7.5, {'epochs': 14, 'units1': 19, 'act1': 'sigmoid', 'units2': 20, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
