Generation: 1
1, 29, -16.0, {'epochs': 13, 'units1': 3, 'act1': 'selu', 'units2': 43, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -10.5, {'epochs': 9, 'units1': 34, 'act1': 'elu', 'units2': 5, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 21, -9.5, {'epochs': 2, 'units1': 21, 'act1': 'sigmoid', 'units2': 32, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 74, -9.5, {'epochs': 13, 'units1': 8, 'act1': 'relu', 'units2': 42, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 22, -5.0, {'epochs': 5, 'units1': 1, 'act1': 'tanh', 'units2': 40, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -48.0, {'epochs': 8, 'units1': 35, 'act1': 'softmax', 'units2': 5, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -0.5, {'epochs': 10, 'units1': 5, 'act1': 'selu', 'units2': 1, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
3, 30, 212.0, {'epochs': 6, 'units1': 3, 'act1': 'linear', 'units2': 39, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -5.0, {'epochs': 6, 'units1': 48, 'act1': 'sigmoid', 'units2': 4, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -52.0, {'epochs': 2, 'units1': 29, 'act1': 'relu', 'units2': 4, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -54.0, {'epochs': 5, 'units1': 11, 'act1': 'elu', 'units2': 11, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 4, 'units1': 38, 'act1': 'softmax', 'units2': 6, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -46.5, {'epochs': 2, 'units1': 15, 'act1': 'sigmoid', 'units2': 34, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
2, 220, 52.0, {'epochs': 14, 'units1': 7, 'act1': 'selu', 'units2': 30, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
5, 233, 394.0, {'epochs': 13, 'units1': 39, 'act1': 'linear', 'units2': 20, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -49.0, {'epochs': 1, 'units1': 37, 'act1': 'sigmoid', 'units2': 11, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -3.5, {'epochs': 8, 'units1': 28, 'act1': 'softmax', 'units2': 4, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -0.5, {'epochs': 12, 'units1': 45, 'act1': 'relu', 'units2': 39, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -50.5, {'epochs': 7, 'units1': 15, 'act1': 'elu', 'units2': 17, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 19, -14.5, {'epochs': 5, 'units1': 6, 'act1': 'linear', 'units2': 43, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
Generation: 2
1, 200, -48.0, {'epochs': 45, 'units1': 120, 'act1': 'linear', 'units2': 86, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -38.0, {'epochs': 6, 'units1': 3, 'act1': 'linear', 'units2': 39, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
4, 294, 308.0, {'epochs': 14, 'units1': 7, 'act1': 'selu', 'units2': 30, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -50.5, {'epochs': 10, 'units1': 5, 'act1': 'selu', 'units2': 1, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -47.5, {'epochs': 6, 'units1': 10, 'act1': 'selu', 'units2': 24, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -53.0, {'epochs': 7, 'units1': 19, 'act1': 'tanh', 'units2': 19, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -11.0, {'epochs': 40, 'units1': 92, 'act1': 'tanh', 'units2': 12, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -12.5, {'epochs': 8, 'units1': 11, 'act1': 'softmax', 'units2': 5, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -7.5, {'epochs': 6, 'units1': 2, 'act1': 'softmax', 'units2': 9, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -38.0, {'epochs': 5, 'units1': 2, 'act1': 'selu', 'units2': 19, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -6.5, {'epochs': 83, 'units1': 3, 'act1': 'softmax', 'units2': 26, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 21, 6.5, {'epochs': 9, 'units1': 4, 'act1': 'linear', 'units2': 15, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
2, 209, 51.0, {'epochs': 92, 'units1': 32, 'act1': 'selu', 'units2': 90, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, 1.5, {'epochs': 8, 'units1': 3, 'act1': 'linear', 'units2': 24, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -53.0, {'epochs': 7, 'units1': 19, 'act1': 'tanh', 'units2': 19, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 35, 20.0, {'epochs': 6, 'units1': 10, 'act1': 'selu', 'units2': 24, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 17, -18.0, {'epochs': 5, 'units1': 2, 'act1': 'selu', 'units2': 19, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -49.5, {'epochs': 6, 'units1': 2, 'act1': 'softmax', 'units2': 9, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 29, -27.0, {'epochs': 9, 'units1': 28, 'act1': 'tanh', 'units2': 15, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 30, -6.0, {'epochs': 9, 'units1': 28, 'act1': 'tanh', 'units2': 15, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
Generation: 3
1, 23, 9.5, {'epochs': 14, 'units1': 7, 'act1': 'selu', 'units2': 30, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 11, -15.5, {'epochs': 92, 'units1': 32, 'act1': 'selu', 'units2': 90, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -3.0, {'epochs': 6, 'units1': 10, 'act1': 'selu', 'units2': 24, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 25, -6.0, {'epochs': 9, 'units1': 4, 'act1': 'linear', 'units2': 15, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -12.5, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -13.5, {'epochs': 69, 'units1': 24, 'act1': 'linear', 'units2': 67, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -9.0, {'epochs': 69, 'units1': 24, 'act1': 'linear', 'units2': 67, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -38.0, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 22, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 12, -14.5, {'epochs': 77, 'units1': 39, 'act1': 'linear', 'units2': 77, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
