Generation: 1
1, 10, -206.5, {'epochs': 7, 'units1': 3, 'act1': 'tanh', 'units2': 28, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -53.0, {'epochs': 4, 'units1': 44, 'act1': 'softmax', 'units2': 17, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -53.0, {'epochs': 9, 'units1': 15, 'act1': 'sigmoid', 'units2': 23, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212.5, {'epochs': 9, 'units1': 41, 'act1': 'relu', 'units2': 17, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 8, 'units1': 21, 'act1': 'linear', 'units2': 4, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 13, 'units1': 34, 'act1': 'tanh', 'units2': 21, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 14, 'units1': 24, 'act1': 'softmax', 'units2': 28, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
2, 215, 39.5, {'epochs': 14, 'units1': 36, 'act1': 'elu', 'units2': 27, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 9, -110.0, {'epochs': 1, 'units1': 39, 'act1': 'softmax', 'units2': 36, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 1, 'units1': 18, 'act1': 'selu', 'units2': 36, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -207.5, {'epochs': 8, 'units1': 22, 'act1': 'linear', 'units2': 47, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -43.0, {'epochs': 11, 'units1': 47, 'act1': 'linear', 'units2': 41, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -45.5, {'epochs': 8, 'units1': 34, 'act1': 'tanh', 'units2': 24, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -43.0, {'epochs': 7, 'units1': 19, 'act1': 'softmax', 'units2': 9, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -43.0, {'epochs': 3, 'units1': 25, 'act1': 'softmax', 'units2': 41, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -68.0, {'epochs': 7, 'units1': 27, 'act1': 'tanh', 'units2': 41, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -215.0, {'epochs': 13, 'units1': 44, 'act1': 'elu', 'units2': 12, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -35.5, {'epochs': 7, 'units1': 32, 'act1': 'relu', 'units2': 23, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
5, 95, 261.0, {'epochs': 7, 'units1': 27, 'act1': 'sigmoid', 'units2': 42, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
5, 231, 219.5, {'epochs': 8, 'units1': 6, 'act1': 'selu', 'units2': 12, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
Generation: 2
1, 9, -215.0, {'epochs': 7, 'units1': 27, 'act1': 'sigmoid', 'units2': 42, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 19, -185.0, {'epochs': 8, 'units1': 6, 'act1': 'selu', 'units2': 12, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -38.0, {'epochs': 14, 'units1': 36, 'act1': 'elu', 'units2': 27, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 7, 'units1': 32, 'act1': 'relu', 'units2': 23, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 6, 'units1': 4, 'act1': 'linear', 'units2': 9, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 11, -215.5, {'epochs': 6, 'units1': 4, 'act1': 'linear', 'units2': 9, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 20, -209.0, {'epochs': 10, 'units1': 27, 'act1': 'relu', 'units2': 19, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -215.0, {'epochs': 10, 'units1': 27, 'act1': 'relu', 'units2': 19, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -43.0, {'epochs': 9, 'units1': 19, 'act1': 'relu', 'units2': 16, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -209.0, {'epochs': 7, 'units1': 12, 'act1': 'linear', 'units2': 12, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -48.0, {'epochs': 4, 'units1': 22, 'act1': 'tanh', 'units2': 21, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 55, 'units1': 112, 'act1': 'elu', 'units2': 30, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 18, -208.5, {'epochs': 32, 'units1': 27, 'act1': 'linear', 'units2': 29, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -53.0, {'epochs': 5, 'units1': 17, 'act1': 'tanh', 'units2': 14, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
3, 18, 6.5, {'epochs': 10, 'units1': 27, 'act1': 'relu', 'units2': 19, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 20, -189.0, {'epochs': 10, 'units1': 27, 'act1': 'relu', 'units2': 19, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 6, 'units1': 22, 'act1': 'elu', 'units2': 27, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 8, 'units1': 24, 'act1': 'relu', 'units2': 23, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -195.0, {'epochs': 4, 'units1': 21, 'act1': 'elu', 'units2': 26, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -60.5, {'epochs': 4, 'units1': 22, 'act1': 'tanh', 'units2': 21, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
Generation: 3
1, 9, -215.0, {'epochs': 10, 'units1': 27, 'act1': 'relu', 'units2': 19, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -194.0, {'epochs': 14, 'units1': 36, 'act1': 'elu', 'units2': 27, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -53.0, {'epochs': 9, 'units1': 19, 'act1': 'relu', 'units2': 16, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
