Generation: 1
4, 400, 259.5, {'epochs': 14, 'units1': 44, 'act1': 'selu', 'units2': 44, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -33.0, {'epochs': 6, 'units1': 22, 'act1': 'linear', 'units2': 32, 'act2': 'softmax', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 14, 'units1': 13, 'act1': 'relu', 'units2': 1, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 10, 'units1': 8, 'act1': 'sigmoid', 'units2': 48, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
2, 237, 76.5, {'epochs': 12, 'units1': 15, 'act1': 'tanh', 'units2': 24, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
3, 390, 147.0, {'epochs': 1, 'units1': 10, 'act1': 'elu', 'units2': 25, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -48.0, {'epochs': 10, 'units1': 47, 'act1': 'linear', 'units2': 24, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 8, 'units1': 35, 'act1': 'sigmoid', 'units2': 25, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -43.0, {'epochs': 8, 'units1': 20, 'act1': 'tanh', 'units2': 9, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -75.5, {'epochs': 9, 'units1': 13, 'act1': 'relu', 'units2': 25, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 4, 'units1': 21, 'act1': 'tanh', 'units2': 11, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -200.0, {'epochs': 8, 'units1': 40, 'act1': 'selu', 'units2': 31, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 13, 'units1': 25, 'act1': 'softmax', 'units2': 16, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -50.5, {'epochs': 6, 'units1': 43, 'act1': 'tanh', 'units2': 5, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
5, 219, 212.5, {'epochs': 5, 'units1': 41, 'act1': 'selu', 'units2': 49, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 3, 'units1': 35, 'act1': 'sigmoid', 'units2': 42, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 6, 'units1': 28, 'act1': 'sigmoid', 'units2': 26, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -53.0, {'epochs': 13, 'units1': 19, 'act1': 'softmax', 'units2': 11, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -53.0, {'epochs': 3, 'units1': 3, 'act1': 'elu', 'units2': 40, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -215.0, {'epochs': 12, 'units1': 45, 'act1': 'tanh', 'units2': 17, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 43, -91.0, {'epochs': 12, 'units1': 22, 'act1': 'linear', 'units2': 31, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
