Generation: 1
1, 9, -215.0, {'epochs': 4, 'units1': 40, 'act1': 'tanh', 'units2': 8, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 14, -192.5, {'epochs': 1, 'units1': 26, 'act1': 'softmax', 'units2': 38, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 4, -197.5, {'epochs': 11, 'units1': 23, 'act1': 'linear', 'units2': 47, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 5, -196.5, {'epochs': 5, 'units1': 3, 'act1': 'softmax', 'units2': 1, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 3, -203.5, {'epochs': 5, 'units1': 33, 'act1': 'relu', 'units2': 13, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 3, -198.5, {'epochs': 7, 'units1': 18, 'act1': 'sigmoid', 'units2': 7, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 6, -210.5, {'epochs': 4, 'units1': 34, 'act1': 'linear', 'units2': 43, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 5, -204.0, {'epochs': 5, 'units1': 49, 'act1': 'relu', 'units2': 40, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 1, -203.0, {'epochs': 2, 'units1': 20, 'act1': 'softmax', 'units2': 19, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 6, -195.5, {'epochs': 13, 'units1': 17, 'act1': 'softmax', 'units2': 47, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
Generation: 2
1, 2, -204.5, {'epochs': 1, 'units1': 26, 'act1': 'softmax', 'units2': 38, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
