Generation: 1
1, 9, -215.0, {'epochs': 13, 'units1': 47, 'act1': 'linear', 'units2': 40, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
2, 18, -96.0, {'epochs': 13, 'units1': 1, 'act1': 'elu', 'units2': 32, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -210.0, {'epochs': 3, 'units1': 15, 'act1': 'selu', 'units2': 17, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -38.0, {'epochs': 1, 'units1': 6, 'act1': 'elu', 'units2': 6, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 18, -206.0, {'epochs': 7, 'units1': 24, 'act1': 'linear', 'units2': 29, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -35.5, {'epochs': 1, 'units1': 20, 'act1': 'elu', 'units2': 25, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
2, 16, -88.0, {'epochs': 13, 'units1': 13, 'act1': 'tanh', 'units2': 29, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -50.5, {'epochs': 13, 'units1': 20, 'act1': 'softmax', 'units2': 27, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 10, -194.0, {'epochs': 6, 'units1': 1, 'act1': 'selu', 'units2': 38, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -40.5, {'epochs': 1, 'units1': 16, 'act1': 'tanh', 'units2': 40, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
Generation: 2
1, 80, -226.5, {'epochs': 1, 'units1': 20, 'act1': 'elu', 'units2': 25, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 31, -208.0, {'epochs': 1, 'units1': 6, 'act1': 'elu', 'units2': 6, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -210.0, {'epochs': 1, 'units1': 15, 'act1': 'linear', 'units2': 18, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -50.5, {'epochs': 1, 'units1': 10, 'act1': 'selu', 'units2': 12, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
