Generation: 1
1, 9, -212.5, {'epochs': 5, 'units1': 37, 'act1': 'softmax', 'units2': 17, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -50.5, {'epochs': 5, 'units1': 15, 'act1': 'softmax', 'units2': 12, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 21, -208.0, {'epochs': 11, 'units1': 40, 'act1': 'linear', 'units2': 23, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -53.0, {'epochs': 14, 'units1': 25, 'act1': 'softmax', 'units2': 15, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -215.0, {'epochs': 11, 'units1': 40, 'act1': 'softmax', 'units2': 23, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 14, 'units1': 20, 'act1': 'sigmoid', 'units2': 41, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -53.0, {'epochs': 1, 'units1': 21, 'act1': 'softmax', 'units2': 20, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
21, 267, 1978.0, {'epochs': 9, 'units1': 30, 'act1': 'linear', 'units2': 7, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 33, -191.0, {'epochs': 4, 'units1': 31, 'act1': 'linear', 'units2': 26, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
4, 241, 283.0, {'epochs': 4, 'units1': 6, 'act1': 'relu', 'units2': 22, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -215.0, {'epochs': 14, 'units1': 37, 'act1': 'sigmoid', 'units2': 48, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 11, -193.0, {'epochs': 11, 'units1': 11, 'act1': 'elu', 'units2': 41, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 19, -227.5, {'epochs': 3, 'units1': 10, 'act1': 'linear', 'units2': 11, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
5, 108, 226.5, {'epochs': 14, 'units1': 35, 'act1': 'linear', 'units2': 31, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 9, 'units1': 21, 'act1': 'selu', 'units2': 22, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -200.0, {'epochs': 13, 'units1': 12, 'act1': 'sigmoid', 'units2': 24, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -215.0, {'epochs': 4, 'units1': 28, 'act1': 'tanh', 'units2': 19, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 10, -191.5, {'epochs': 11, 'units1': 31, 'act1': 'linear', 'units2': 19, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -50.5, {'epochs': 4, 'units1': 48, 'act1': 'relu', 'units2': 9, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 186, -248.0, {'epochs': 14, 'units1': 15, 'act1': 'relu', 'units2': 17, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 11, -105.5, {'epochs': 5, 'units1': 42, 'act1': 'linear', 'units2': 7, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 56, -100.5, {'epochs': 9, 'units1': 5, 'act1': 'linear', 'units2': 46, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -53.0, {'epochs': 11, 'units1': 17, 'act1': 'linear', 'units2': 49, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -205.0, {'epochs': 3, 'units1': 19, 'act1': 'sigmoid', 'units2': 12, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -215.0, {'epochs': 10, 'units1': 16, 'act1': 'sigmoid', 'units2': 16, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
