Generation: 1
1, 131, -157, {'epochs': 6, 'units1': 2, 'act1': 'selu', 'units2': 1, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 23, -193, {'epochs': 3, 'units1': 5, 'act1': 'relu', 'units2': 1, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 8, -205, {'epochs': 10, 'units1': 9, 'act1': 'elu', 'units2': 29, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 7, -204, {'epochs': 7, 'units1': 2, 'act1': 'relu', 'units2': 5, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 8, -205, {'epochs': 4, 'units1': 12, 'act1': 'sigmoid', 'units2': 3, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 11, -196, {'epochs': 12, 'units1': 13, 'act1': 'linear', 'units2': 35, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 15, -194, {'epochs': 11, 'units1': 11, 'act1': 'sigmoid', 'units2': 3, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 27, -194, {'epochs': 11, 'units1': 9, 'act1': 'tanh', 'units2': 18, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
2, 13, -99, {'epochs': 14, 'units1': 5, 'act1': 'elu', 'units2': 9, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 18, -185, {'epochs': 13, 'units1': 8, 'act1': 'relu', 'units2': 30, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
Generation: 2
1, 105, -137, {'epochs': 104, 'units1': 27, 'act1': 'elu', 'units2': 78, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 7, -201, {'epochs': 6, 'units1': 2, 'act1': 'selu', 'units2': 1, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 8, -211, {'epochs': 11, 'units1': 4, 'act1': 'elu', 'units2': 6, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 8, 'units1': 3, 'act1': 'elu', 'units2': 3, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
