Generation: 1
1, 25, -192, {'epochs': 13, 'units1': 1, 'act1': 'softmax', 'units2': 42, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 9, 'units1': 4, 'act1': 'tanh', 'units2': 9, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 8, -199, {'epochs': 1, 'units1': 10, 'act1': 'sigmoid', 'units2': 33, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 7, -192, {'epochs': 14, 'units1': 13, 'act1': 'linear', 'units2': 1, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 7, -198, {'epochs': 10, 'units1': 12, 'act1': 'linear', 'units2': 7, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 5, -202, {'epochs': 11, 'units1': 10, 'act1': 'linear', 'units2': 2, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 5, -202, {'epochs': 9, 'units1': 12, 'act1': 'linear', 'units2': 23, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 4, -201, {'epochs': 10, 'units1': 5, 'act1': 'softmax', 'units2': 27, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 5, -202, {'epochs': 1, 'units1': 4, 'act1': 'softmax', 'units2': 33, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 3, -200, {'epochs': 10, 'units1': 1, 'act1': 'relu', 'units2': 39, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
Generation: 2
7, 62, 431, {'epochs': 9, 'units1': 4, 'act1': 'tanh', 'units2': 9, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 13, 'units1': 1, 'act1': 'softmax', 'units2': 42, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
