Generation: 1
1, 28, -171, {'epochs': 6, 'units1': 11, 'act1': 'selu', 'units2': 15, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 8, -199, {'epochs': 3, 'units1': 6, 'act1': 'softmax', 'units2': 12, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 6, -191, {'epochs': 4, 'units1': 12, 'act1': 'tanh', 'units2': 10, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 8, -187, {'epochs': 6, 'units1': 4, 'act1': 'linear', 'units2': 4, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 8, -199, {'epochs': 4, 'units1': 4, 'act1': 'elu', 'units2': 6, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 7, -210, {'epochs': 2, 'units1': 13, 'act1': 'sigmoid', 'units2': 15, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 6, -209, {'epochs': 6, 'units1': 11, 'act1': 'selu', 'units2': 33, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 6, -197, {'epochs': 12, 'units1': 4, 'act1': 'elu', 'units2': 44, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 3, -200, {'epochs': 1, 'units1': 7, 'act1': 'linear', 'units2': 46, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 6, -209, {'epochs': 11, 'units1': 1, 'act1': 'selu', 'units2': 18, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
Generation: 2
1, 9, -212, {'epochs': 6, 'units1': 11, 'act1': 'selu', 'units2': 15, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
