Generation: 1
1, 16, -183, {'epochs': 13, 'units1': 3, 'act1': 'selu', 'units2': 11, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 6, -203, {'epochs': 14, 'units1': 4, 'act1': 'softmax', 'units2': 17, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 5, -208, {'epochs': 3, 'units1': 11, 'act1': 'tanh', 'units2': 16, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 4, -207, {'epochs': 11, 'units1': 8, 'act1': 'selu', 'units2': 21, 'act2': 'relu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 4, -201, {'epochs': 9, 'units1': 3, 'act1': 'sigmoid', 'units2': 27, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 4, -201, {'epochs': 5, 'units1': 3, 'act1': 'sigmoid', 'units2': 44, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 6, -209, {'epochs': 5, 'units1': 11, 'act1': 'tanh', 'units2': 17, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 6, -203, {'epochs': 2, 'units1': 1, 'act1': 'tanh', 'units2': 47, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 5, -205, {'epochs': 6, 'units1': 7, 'act1': 'linear', 'units2': 26, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 6, -209, {'epochs': 7, 'units1': 11, 'act1': 'linear', 'units2': 34, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
Generation: 2
1, 9, -212, {'epochs': 13, 'units1': 3, 'act1': 'selu', 'units2': 11, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 9, 'units1': 3, 'act1': 'sigmoid', 'units2': 27, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
