Generation: 1
1, 18, -194, {'epochs': 3, 'units1': 3, 'act1': 'sigmoid', 'units2': 15, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 2, -202, {'epochs': 12, 'units1': 2, 'act1': 'elu', 'units2': 45, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 3, -200, {'epochs': 9, 'units1': 1, 'act1': 'linear', 'units2': 35, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 2, -202, {'epochs': 9, 'units1': 1, 'act1': 'elu', 'units2': 13, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 2, -199, {'epochs': 13, 'units1': 3, 'act1': 'tanh', 'units2': 12, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 2, -202, {'epochs': 8, 'units1': 8, 'act1': 'selu', 'units2': 24, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 5, -193, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 3, 'act2': 'selu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 5, -202, {'epochs': 3, 'units1': 9, 'act1': 'softmax', 'units2': 34, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 5, -208, {'epochs': 14, 'units1': 2, 'act1': 'softmax', 'units2': 23, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 3, -206, {'epochs': 12, 'units1': 5, 'act1': 'relu', 'units2': 14, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
Generation: 2
3, 72, -17, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 3, 'act2': 'selu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 4, -201, {'epochs': 3, 'units1': 3, 'act1': 'sigmoid', 'units2': 15, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 4, -207, {'epochs': 13, 'units1': 3, 'act1': 'tanh', 'units2': 12, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 2, -202, {'epochs': 9, 'units1': 1, 'act1': 'linear', 'units2': 35, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 6, -209, {'epochs': 12, 'units1': 2, 'act1': 'elu', 'units2': 45, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 6, -209, {'epochs': 10, 'units1': 4, 'act1': 'selu', 'units2': 3, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 6, -200, {'epochs': 10, 'units1': 4, 'act1': 'selu', 'units2': 3, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 5, -208, {'epochs': 10, 'units1': 4, 'act1': 'selu', 'units2': 3, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 5, -208, {'epochs': 10, 'units1': 4, 'act1': 'selu', 'units2': 3, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 5, -199, {'epochs': 9, 'units1': 3, 'act1': 'selu', 'units2': 13, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 7, -207, {'epochs': 9, 'units1': 2, 'act1': 'selu', 'units2': 24, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
Generation: 3
1, 13, -195, {'epochs': 10, 'units1': 4, 'act1': 'linear', 'units2': 3, 'act2': 'selu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 5, -205, {'epochs': 9, 'units1': 3, 'act1': 'selu', 'units2': 13, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 3, -206, {'epochs': 3, 'units1': 3, 'act1': 'sigmoid', 'units2': 15, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 5, -202, {'epochs': 78, 'units1': 68, 'act1': 'linear', 'units2': 115, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 5, -202, {'epochs': 13, 'units1': 3, 'act1': 'tanh', 'units2': 12, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 4, -201, {'epochs': 7, 'units1': 3, 'act1': 'sigmoid', 'units2': 13, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 5, -205, {'epochs': 5, 'units1': 3, 'act1': 'linear', 'units2': 14, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
