Generation: 1
1, 63, -200, {'epochs': 1, 'units1': 1, 'act1': 'selu', 'units2': 30, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 33, -189, {'epochs': 4, 'units1': 11, 'act1': 'softmax', 'units2': 47, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 12, -186, {'epochs': 7, 'units1': 25, 'act1': 'tanh', 'units2': 43, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 34, -186, {'epochs': 9, 'units1': 41, 'act1': 'softmax', 'units2': 4, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 10, -195, {'epochs': 14, 'units1': 17, 'act1': 'sigmoid', 'units2': 37, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 3, -200, {'epochs': 14, 'units1': 27, 'act1': 'tanh', 'units2': 35, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 6, -209, {'epochs': 2, 'units1': 26, 'act1': 'elu', 'units2': 33, 'act2': 'softmax', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 5, -193, {'epochs': 14, 'units1': 7, 'act1': 'tanh', 'units2': 8, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -197, {'epochs': 6, 'units1': 3, 'act1': 'elu', 'units2': 14, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 7, -210, {'epochs': 4, 'units1': 23, 'act1': 'sigmoid', 'units2': 5, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 8, -199, {'epochs': 5, 'units1': 6, 'act1': 'tanh', 'units2': 40, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 5, -202, {'epochs': 4, 'units1': 42, 'act1': 'softmax', 'units2': 8, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 4, -207, {'epochs': 13, 'units1': 32, 'act1': 'softmax', 'units2': 34, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 19, -189, {'epochs': 6, 'units1': 19, 'act1': 'selu', 'units2': 4, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 8, -211, {'epochs': 1, 'units1': 32, 'act1': 'linear', 'units2': 14, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 19, -189, {'epochs': 6, 'units1': 43, 'act1': 'relu', 'units2': 36, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 6, -197, {'epochs': 1, 'units1': 45, 'act1': 'elu', 'units2': 49, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 7, -201, {'epochs': 11, 'units1': 37, 'act1': 'sigmoid', 'units2': 16, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 10, -198, {'epochs': 5, 'units1': 48, 'act1': 'elu', 'units2': 21, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 2, -202, {'epochs': 3, 'units1': 40, 'act1': 'tanh', 'units2': 25, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 6, 'units1': 2, 'act1': 'tanh', 'units2': 22, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 5, 'units1': 31, 'act1': 'softmax', 'units2': 47, 'act2': 'softmax', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 38, -187, {'epochs': 12, 'units1': 5, 'act1': 'relu', 'units2': 28, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 7, 'units1': 4, 'act1': 'softmax', 'units2': 46, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
Generation: 2
2, 9, 308, {'epochs': 7, 'units1': 25, 'act1': 'tanh', 'units2': 43, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
