Generation: 1
2, 53, 325, {'epochs': 3, 'units1': 27, 'act1': 'selu', 'units2': 22, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 32, -118, {'epochs': 3, 'units1': 18, 'act1': 'elu', 'units2': 43, 'act2': 'elu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 14, -211, {'epochs': 3, 'units1': 8, 'act1': 'elu', 'units2': 37, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 136, 35, {'epochs': 11, 'units1': 32, 'act1': 'softmax', 'units2': 21, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 27, -191, {'epochs': 4, 'units1': 4, 'act1': 'sigmoid', 'units2': 49, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 22, -139, {'epochs': 11, 'units1': 41, 'act1': 'linear', 'units2': 45, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 34, -186, {'epochs': 3, 'units1': 21, 'act1': 'sigmoid', 'units2': 9, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 14, -196, {'epochs': 4, 'units1': 36, 'act1': 'sigmoid', 'units2': 33, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 8, -199, {'epochs': 8, 'units1': 23, 'act1': 'sigmoid', 'units2': 26, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 45, -124, {'epochs': 6, 'units1': 30, 'act1': 'softmax', 'units2': 3, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -210, {'epochs': 1, 'units1': 48, 'act1': 'sigmoid', 'units2': 18, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 8, -211, {'epochs': 6, 'units1': 40, 'act1': 'tanh', 'units2': 2, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 4, -207, {'epochs': 6, 'units1': 22, 'act1': 'selu', 'units2': 1, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 2, -205, {'epochs': 8, 'units1': 12, 'act1': 'elu', 'units2': 26, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 10, 307, {'epochs': 14, 'units1': 31, 'act1': 'linear', 'units2': 27, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 16, -195, {'epochs': 12, 'units1': 7, 'act1': 'selu', 'units2': 42, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 13, 'units1': 17, 'act1': 'elu', 'units2': 33, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -206, {'epochs': 3, 'units1': 42, 'act1': 'sigmoid', 'units2': 37, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 14, -196, {'epochs': 7, 'units1': 23, 'act1': 'elu', 'units2': 20, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 11, -199, {'epochs': 6, 'units1': 14, 'act1': 'linear', 'units2': 17, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 11, -196, {'epochs': 1, 'units1': 1, 'act1': 'linear', 'units2': 17, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 55, -45, {'epochs': 10, 'units1': 37, 'act1': 'selu', 'units2': 9, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 26, -146, {'epochs': 3, 'units1': 17, 'act1': 'tanh', 'units2': 9, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 20, -154, {'epochs': 9, 'units1': 24, 'act1': 'tanh', 'units2': 16, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
