Generation: 1
1, 19, -195, {'epochs': 10, 'units1': 48, 'act1': 'linear', 'units2': 24, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 7, -210, {'epochs': 13, 'units1': 4, 'act1': 'elu', 'units2': 21, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 10, -198, {'epochs': 3, 'units1': 5, 'act1': 'elu', 'units2': 3, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 8, -211, {'epochs': 3, 'units1': 14, 'act1': 'tanh', 'units2': 21, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -200, {'epochs': 13, 'units1': 33, 'act1': 'softmax', 'units2': 36, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -200, {'epochs': 13, 'units1': 13, 'act1': 'linear', 'units2': 18, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 7, -210, {'epochs': 2, 'units1': 3, 'act1': 'relu', 'units2': 33, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 8, -211, {'epochs': 1, 'units1': 2, 'act1': 'selu', 'units2': 34, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 14, 'units1': 21, 'act1': 'softmax', 'units2': 3, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 7, -201, {'epochs': 3, 'units1': 37, 'act1': 'sigmoid', 'units2': 18, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 6, -203, {'epochs': 5, 'units1': 15, 'act1': 'sigmoid', 'units2': 38, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 3, -203, {'epochs': 9, 'units1': 35, 'act1': 'relu', 'units2': 9, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 5, -202, {'epochs': 8, 'units1': 39, 'act1': 'sigmoid', 'units2': 14, 'act2': 'softmax', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 6, -200, {'epochs': 14, 'units1': 13, 'act1': 'relu', 'units2': 5, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 4, -201, {'epochs': 3, 'units1': 49, 'act1': 'sigmoid', 'units2': 28, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 2, -202, {'epochs': 1, 'units1': 7, 'act1': 'selu', 'units2': 43, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 30, -188, {'epochs': 12, 'units1': 22, 'act1': 'linear', 'units2': 20, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 8, -199, {'epochs': 4, 'units1': 35, 'act1': 'sigmoid', 'units2': 5, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 6, -200, {'epochs': 12, 'units1': 2, 'act1': 'sigmoid', 'units2': 17, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 6, -200, {'epochs': 10, 'units1': 9, 'act1': 'selu', 'units2': 11, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 6, -209, {'epochs': 9, 'units1': 47, 'act1': 'selu', 'units2': 16, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 8, -199, {'epochs': 12, 'units1': 20, 'act1': 'sigmoid', 'units2': 12, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 6, -203, {'epochs': 12, 'units1': 41, 'act1': 'elu', 'units2': 23, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 6, -209, {'epochs': 14, 'units1': 15, 'act1': 'sigmoid', 'units2': 21, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
