Generation: 1
1, 19, -198, {'epochs': 11, 'units1': 14, 'act1': 'linear', 'units2': 24, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 11, -196, {'epochs': 3, 'units1': 10, 'act1': 'selu', 'units2': 8, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 9, 'units1': 42, 'act1': 'selu', 'units2': 21, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -200, {'epochs': 4, 'units1': 30, 'act1': 'elu', 'units2': 27, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 8, -190, {'epochs': 7, 'units1': 35, 'act1': 'relu', 'units2': 12, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 6, -194, {'epochs': 1, 'units1': 13, 'act1': 'linear', 'units2': 35, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 5, -202, {'epochs': 2, 'units1': 38, 'act1': 'sigmoid', 'units2': 43, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 5, -202, {'epochs': 12, 'units1': 27, 'act1': 'linear', 'units2': 2, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -200, {'epochs': 6, 'units1': 27, 'act1': 'tanh', 'units2': 20, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
3, 42, 841, {'epochs': 5, 'units1': 12, 'act1': 'tanh', 'units2': 27, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
Generation: 2
1, 9, -212, {'epochs': 5, 'units1': 12, 'act1': 'tanh', 'units2': 27, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
