Generation: 1
1, 5, -193, {'epochs': 10, 'units1': 15, 'act1': 'linear', 'units2': 24, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 10, -198, {'epochs': 9, 'units1': 48, 'act1': 'linear', 'units2': 18, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 5, 'units1': 41, 'act1': 'softmax', 'units2': 45, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 4, -207, {'epochs': 11, 'units1': 41, 'act1': 'selu', 'units2': 41, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 8, -199, {'epochs': 10, 'units1': 45, 'act1': 'elu', 'units2': 49, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 1, -204, {'epochs': 9, 'units1': 7, 'act1': 'tanh', 'units2': 38, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -200, {'epochs': 10, 'units1': 30, 'act1': 'softmax', 'units2': 37, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 2, -205, {'epochs': 5, 'units1': 3, 'act1': 'tanh', 'units2': 22, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 3, -203, {'epochs': 5, 'units1': 6, 'act1': 'softmax', 'units2': 33, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 3, -200, {'epochs': 7, 'units1': 40, 'act1': 'linear', 'units2': 47, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
Generation: 2
5, 212, 1807, {'epochs': 10, 'units1': 15, 'act1': 'linear', 'units2': 24, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 15, -177, {'epochs': 9, 'units1': 48, 'act1': 'linear', 'units2': 18, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 24, -197, {'epochs': 10, 'units1': 45, 'act1': 'elu', 'units2': 49, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
