Generation: 1
1, 14, -196, {'epochs': 4, 'units1': 11, 'act1': 'softmax', 'units2': 8, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 8, -211, {'epochs': 14, 'units1': 20, 'act1': 'selu', 'units2': 34, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 8, -211, {'epochs': 14, 'units1': 31, 'act1': 'selu', 'units2': 44, 'act2': 'relu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 8, -199, {'epochs': 8, 'units1': 25, 'act1': 'sigmoid', 'units2': 11, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 2, 'units1': 44, 'act1': 'elu', 'units2': 24, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 10, -210, {'epochs': 5, 'units1': 18, 'act1': 'elu', 'units2': 37, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 13, 'units1': 19, 'act1': 'linear', 'units2': 45, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -197, {'epochs': 6, 'units1': 49, 'act1': 'tanh', 'units2': 41, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 3, 'units1': 38, 'act1': 'softmax', 'units2': 8, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 15, -194, {'epochs': 14, 'units1': 45, 'act1': 'sigmoid', 'units2': 6, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
Generation: 2
1, 9, -212, {'epochs': 14, 'units1': 45, 'act1': 'sigmoid', 'units2': 6, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
