Generation: 1
1, 19, -202, {'epochs': 50, 'units1': 236, 'act1': 'relu', 'units2': 30, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
6, 112, 2409, {'epochs': 197, 'units1': 108, 'act1': 'selu', 'units2': 226, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 134, 181, {'epochs': 31, 'units1': 211, 'act1': 'elu', 'units2': 50, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 7, -198, {'epochs': 75, 'units1': 115, 'act1': 'selu', 'units2': 9, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 8, -211, {'epochs': 47, 'units1': 113, 'act1': 'relu', 'units2': 73, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 5, -202, {'epochs': 63, 'units1': 97, 'act1': 'elu', 'units2': 16, 'act2': 'softmax', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 5, -202, {'epochs': 37, 'units1': 118, 'act1': 'tanh', 'units2': 128, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 5, -208, {'epochs': 79, 'units1': 231, 'act1': 'tanh', 'units2': 70, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 7, -210, {'epochs': 203, 'units1': 167, 'act1': 'selu', 'units2': 58, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 6, -209, {'epochs': 219, 'units1': 247, 'act1': 'selu', 'units2': 25, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
Generation: 2
1, 4, -207, {'epochs': 284, 'units1': 159, 'act1': 'selu', 'units2': 313, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 31, 'units1': 211, 'act1': 'elu', 'units2': 50, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 20, -149, {'epochs': 75, 'units1': 115, 'act1': 'selu', 'units2': 9, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -201, {'epochs': 50, 'units1': 236, 'act1': 'relu', 'units2': 30, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 11, -196, {'epochs': 63, 'units1': 97, 'act1': 'elu', 'units2': 16, 'act2': 'softmax', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 14, -199, {'epochs': 69, 'units1': 124, 'act1': 'linear', 'units2': 2, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -209, {'epochs': 203, 'units1': 99, 'act1': 'tanh', 'units2': 233, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 32, -175, {'epochs': 69, 'units1': 124, 'act1': 'linear', 'units2': 2, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 24, -182, {'epochs': 203, 'units1': 99, 'act1': 'tanh', 'units2': 233, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 155, 'units1': 198, 'act1': 'selu', 'units2': 18, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 6, -194, {'epochs': 197, 'units1': 108, 'act1': 'selu', 'units2': 226, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
Generation: 3
1, 9, -212, {'epochs': 75, 'units1': 115, 'act1': 'selu', 'units2': 9, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
