Generation: 1
1, 200, 588, {'epochs': 157, 'units1': 11, 'act1': 'relu', 'units2': 96, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 17, -193, {'epochs': 164, 'units1': 219, 'act1': 'elu', 'units2': 44, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 21, -194, {'epochs': 169, 'units1': 184, 'act1': 'selu', 'units2': 225, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 7, -210, {'epochs': 181, 'units1': 135, 'act1': 'tanh', 'units2': 171, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -191, {'epochs': 89, 'units1': 127, 'act1': 'softmax', 'units2': 63, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 57, 'units1': 16, 'act1': 'relu', 'units2': 163, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 11, -181, {'epochs': 90, 'units1': 192, 'act1': 'tanh', 'units2': 63, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 15, -197, {'epochs': 8, 'units1': 37, 'act1': 'softmax', 'units2': 177, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 12, -197, {'epochs': 146, 'units1': 17, 'act1': 'sigmoid', 'units2': 102, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 153, 'units1': 67, 'act1': 'relu', 'units2': 237, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 13, -195, {'epochs': 7, 'units1': 165, 'act1': 'relu', 'units2': 34, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -189, {'epochs': 112, 'units1': 216, 'act1': 'relu', 'units2': 169, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 13, -198, {'epochs': 25, 'units1': 33, 'act1': 'selu', 'units2': 179, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -198, {'epochs': 83, 'units1': 167, 'act1': 'sigmoid', 'units2': 204, 'act2': 'elu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 8, -199, {'epochs': 199, 'units1': 235, 'act1': 'relu', 'units2': 86, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 7, -210, {'epochs': 251, 'units1': 139, 'act1': 'relu', 'units2': 199, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 7, -192, {'epochs': 69, 'units1': 121, 'act1': 'selu', 'units2': 6, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 8, -199, {'epochs': 92, 'units1': 154, 'act1': 'linear', 'units2': 132, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 8, -211, {'epochs': 55, 'units1': 124, 'act1': 'softmax', 'units2': 69, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 5, -196, {'epochs': 88, 'units1': 95, 'act1': 'relu', 'units2': 33, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 7, -207, {'epochs': 10, 'units1': 253, 'act1': 'relu', 'units2': 213, 'act2': 'elu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 8, -211, {'epochs': 19, 'units1': 65, 'act1': 'elu', 'units2': 145, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 8, -211, {'epochs': 193, 'units1': 241, 'act1': 'linear', 'units2': 87, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 7, -192, {'epochs': 117, 'units1': 141, 'act1': 'linear', 'units2': 99, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 98, -140, {'epochs': 139, 'units1': 223, 'act1': 'selu', 'units2': 251, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 2, -205, {'epochs': 65, 'units1': 172, 'act1': 'sigmoid', 'units2': 117, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 8, -211, {'epochs': 210, 'units1': 247, 'act1': 'linear', 'units2': 198, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 5, -208, {'epochs': 216, 'units1': 224, 'act1': 'elu', 'units2': 119, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 3, -197, {'epochs': 199, 'units1': 173, 'act1': 'linear', 'units2': 6, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 2, -205, {'epochs': 84, 'units1': 183, 'act1': 'linear', 'units2': 182, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 6, -200, {'epochs': 200, 'units1': 214, 'act1': 'relu', 'units2': 200, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 6, -191, {'epochs': 241, 'units1': 230, 'act1': 'selu', 'units2': 83, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 7, -210, {'epochs': 143, 'units1': 65, 'act1': 'selu', 'units2': 138, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 6, -209, {'epochs': 52, 'units1': 95, 'act1': 'softmax', 'units2': 114, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 4, -201, {'epochs': 61, 'units1': 76, 'act1': 'sigmoid', 'units2': 4, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 3, -203, {'epochs': 153, 'units1': 240, 'act1': 'linear', 'units2': 102, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 8, -187, {'epochs': 30, 'units1': 143, 'act1': 'elu', 'units2': 187, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 4, -201, {'epochs': 176, 'units1': 116, 'act1': 'tanh', 'units2': 218, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 104, 'units1': 114, 'act1': 'relu', 'units2': 84, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
4, 33, 1322, {'epochs': 54, 'units1': 227, 'act1': 'linear', 'units2': 89, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 27, -191, {'epochs': 64, 'units1': 85, 'act1': 'softmax', 'units2': 135, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -197, {'epochs': 189, 'units1': 182, 'act1': 'relu', 'units2': 15, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 3, -197, {'epochs': 237, 'units1': 222, 'act1': 'selu', 'units2': 229, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 3, -200, {'epochs': 99, 'units1': 183, 'act1': 'linear', 'units2': 198, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 6, -191, {'epochs': 148, 'units1': 148, 'act1': 'linear', 'units2': 46, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 6, -200, {'epochs': 227, 'units1': 51, 'act1': 'selu', 'units2': 224, 'act2': 'softmax', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
