Generation: 1
1, 9, -191, {'epochs': 36, 'units1': 225, 'act1': 'selu', 'units2': 202, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 30, -191, {'epochs': 52, 'units1': 12, 'act1': 'softmax', 'units2': 42, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -183, {'epochs': 54, 'units1': 3, 'act1': 'tanh', 'units2': 4, 'act2': 'elu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -191, {'epochs': 20, 'units1': 174, 'act1': 'linear', 'units2': 104, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -188, {'epochs': 95, 'units1': 202, 'act1': 'sigmoid', 'units2': 195, 'act2': 'softmax', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 37, 'units1': 10, 'act1': 'linear', 'units2': 157, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 6, -192, {'epochs': 149, 'units1': 24, 'act1': 'selu', 'units2': 82, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 7, -198, {'epochs': 40, 'units1': 45, 'act1': 'selu', 'units2': 25, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -179, {'epochs': 32, 'units1': 51, 'act1': 'selu', 'units2': 172, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 3, -197, {'epochs': 17, 'units1': 42, 'act1': 'linear', 'units2': 226, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 4, -201, {'epochs': 169, 'units1': 33, 'act1': 'tanh', 'units2': 235, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 6, -192, {'epochs': 54, 'units1': 93, 'act1': 'relu', 'units2': 81, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 2, -205, {'epochs': 48, 'units1': 242, 'act1': 'softmax', 'units2': 244, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 6, -192, {'epochs': 82, 'units1': 131, 'act1': 'relu', 'units2': 210, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 6, -192, {'epochs': 233, 'units1': 45, 'act1': 'sigmoid', 'units2': 156, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 2, -199, {'epochs': 50, 'units1': 251, 'act1': 'softmax', 'units2': 119, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 3, -203, {'epochs': 159, 'units1': 183, 'act1': 'linear', 'units2': 137, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 5, -191, {'epochs': 186, 'units1': 76, 'act1': 'sigmoid', 'units2': 135, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 14, -200, {'epochs': 40, 'units1': 12, 'act1': 'selu', 'units2': 195, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -196, {'epochs': 23, 'units1': 147, 'act1': 'elu', 'units2': 42, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 7, -189, {'epochs': 92, 'units1': 91, 'act1': 'tanh', 'units2': 218, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 7, -210, {'epochs': 172, 'units1': 151, 'act1': 'elu', 'units2': 209, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 11, -187, {'epochs': 16, 'units1': 188, 'act1': 'softmax', 'units2': 220, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 4, -195, {'epochs': 249, 'units1': 131, 'act1': 'selu', 'units2': 100, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -188, {'epochs': 133, 'units1': 249, 'act1': 'softmax', 'units2': 47, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 8, -211, {'epochs': 140, 'units1': 12, 'act1': 'tanh', 'units2': 135, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 7, -201, {'epochs': 192, 'units1': 164, 'act1': 'linear', 'units2': 9, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 153, 'units1': 93, 'act1': 'linear', 'units2': 165, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 149, 'units1': 138, 'act1': 'tanh', 'units2': 92, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
