Generation: 1
1, 9, -188, {'epochs': 95, 'units1': 13, 'act1': 'linear', 'units2': 218, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 253, 'units1': 4, 'act1': 'elu', 'units2': 250, 'act2': 'linear', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 219, 'units1': 200, 'act1': 'sigmoid', 'units2': 244, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -206, {'epochs': 63, 'units1': 43, 'act1': 'softmax', 'units2': 186, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -200, {'epochs': 133, 'units1': 69, 'act1': 'tanh', 'units2': 150, 'act2': 'softmax', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 216, 1095, {'epochs': 89, 'units1': 106, 'act1': 'sigmoid', 'units2': 76, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 99, 'units1': 72, 'act1': 'tanh', 'units2': 250, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 73, 'units1': 7, 'act1': 'tanh', 'units2': 78, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -194, {'epochs': 210, 'units1': 114, 'act1': 'tanh', 'units2': 72, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 26, 'units1': 28, 'act1': 'sigmoid', 'units2': 19, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 42, 'units1': 139, 'act1': 'elu', 'units2': 52, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 102, {'epochs': 169, 'units1': 138, 'act1': 'selu', 'units2': 168, 'act2': 'linear', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
4, 228, 1634, {'epochs': 245, 'units1': 125, 'act1': 'tanh', 'units2': 233, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 17, -170, {'epochs': 117, 'units1': 6, 'act1': 'elu', 'units2': 167, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 18, -197, {'epochs': 237, 'units1': 54, 'act1': 'linear', 'units2': 46, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 16, 'units1': 122, 'act1': 'tanh', 'units2': 117, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 11, 'units1': 14, 'act1': 'softmax', 'units2': 220, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -185, {'epochs': 157, 'units1': 129, 'act1': 'relu', 'units2': 38, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 580, {'epochs': 154, 'units1': 207, 'act1': 'tanh', 'units2': 83, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
