Generation: 1
1, 87, -161, {'epochs': 163, 'units1': 157, 'act1': 'sigmoid', 'units2': 232, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -188, {'epochs': 131, 'units1': 72, 'act1': 'softmax', 'units2': 211, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 186, 'units1': 93, 'act1': 'linear', 'units2': 124, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 45, -170, {'epochs': 114, 'units1': 3, 'act1': 'relu', 'units2': 17, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -195, {'epochs': 63, 'units1': 251, 'act1': 'softmax', 'units2': 12, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 8, -199, {'epochs': 134, 'units1': 99, 'act1': 'selu', 'units2': 149, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 11, -199, {'epochs': 50, 'units1': 124, 'act1': 'softmax', 'units2': 26, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 5, -193, {'epochs': 188, 'units1': 101, 'act1': 'elu', 'units2': 251, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 12, -197, {'epochs': 132, 'units1': 146, 'act1': 'selu', 'units2': 103, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 4, -204, {'epochs': 106, 'units1': 115, 'act1': 'selu', 'units2': 243, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 6, -191, {'epochs': 15, 'units1': 210, 'act1': 'selu', 'units2': 153, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 8, -187, {'epochs': 55, 'units1': 59, 'act1': 'tanh', 'units2': 110, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 5, -193, {'epochs': 25, 'units1': 222, 'act1': 'softmax', 'units2': 79, 'act2': 'softmax', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 7, -198, {'epochs': 253, 'units1': 241, 'act1': 'elu', 'units2': 44, 'act2': 'selu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 19, -175, {'epochs': 132, 'units1': 9, 'act1': 'linear', 'units2': 9, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 100, 'units1': 149, 'act1': 'selu', 'units2': 103, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -194, {'epochs': 185, 'units1': 233, 'act1': 'linear', 'units2': 137, 'act2': 'relu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 64, 'units1': 25, 'act1': 'sigmoid', 'units2': 51, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 8, -199, {'epochs': 71, 'units1': 9, 'act1': 'sigmoid', 'units2': 216, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
