Generation: 2
1, 9, -212, {'epochs': 128, 'units1': 210, 'act1': 'relu', 'units2': 214, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 111, 'units1': 87, 'act1': 'selu', 'units2': 213, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 75, 'units1': 54, 'act1': 'sigmoid', 'units2': 80, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 220, 'units1': 37, 'act1': 'elu', 'units2': 187, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 28, 'units1': 88, 'act1': 'selu', 'units2': 116, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -209, {'epochs': 134, 'units1': 158, 'act1': 'linear', 'units2': 94, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -194, {'epochs': 100, 'units1': 90, 'act1': 'selu', 'units2': 114, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 188, 'units1': 134, 'act1': 'sigmoid', 'units2': 64, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -206, {'epochs': 146, 'units1': 295, 'act1': 'softmax', 'units2': 263, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 588, {'epochs': 23, 'units1': 172, 'act1': 'sigmoid', 'units2': 135, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 75, 'units1': 37, 'act1': 'selu', 'units2': 239, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 167, 'units1': 30, 'act1': 'selu', 'units2': 8, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 5, 'units1': 204, 'act1': 'tanh', 'units2': 238, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 173, 'units1': 43, 'act1': 'softmax', 'units2': 225, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -206, {'epochs': 75, 'units1': 93, 'act1': 'tanh', 'units2': 145, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -191, {'epochs': 30, 'units1': 33, 'act1': 'linear', 'units2': 185, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 157, 'units1': 121, 'act1': 'sigmoid', 'units2': 266, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 145, 'units1': 166, 'act1': 'relu', 'units2': 252, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 43, 'units1': 206, 'act1': 'linear', 'units2': 42, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 240, 'units1': 87, 'act1': 'softmax', 'units2': 98, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 141, 'units1': 242, 'act1': 'sigmoid', 'units2': 74, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -197, {'epochs': 48, 'units1': 9, 'act1': 'linear', 'units2': 216, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
