Generation: 3
1, 19, -198, {'epochs': 20, 'units1': 90, 'act1': 'tanh', 'units2': 114, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 20, -196, {'epochs': 102, 'units1': 94, 'act1': 'relu', 'units2': 126, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 19, -171, {'epochs': 132, 'units1': 154, 'act1': 'linear', 'units2': 82, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -191, {'epochs': 23, 'units1': 172, 'act1': 'sigmoid', 'units2': 135, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -185, {'epochs': 145, 'units1': 166, 'act1': 'relu', 'units2': 252, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 158, 'units1': 161, 'act1': 'softmax', 'units2': 249, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 75, 'units1': 90, 'act1': 'sigmoid', 'units2': 151, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 145, 'units1': 166, 'act1': 'softmax', 'units2': 252, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -191, {'epochs': 111, 'units1': 87, 'act1': 'selu', 'units2': 213, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 75, 'units1': 54, 'act1': 'sigmoid', 'units2': 80, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 188, 'units1': 134, 'act1': 'sigmoid', 'units2': 64, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 167, 'units1': 30, 'act1': 'selu', 'units2': 8, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 100, 'units1': 209, 'act1': 'tanh', 'units2': 303, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 173, 'units1': 43, 'act1': 'softmax', 'units2': 225, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 157, 'units1': 121, 'act1': 'sigmoid', 'units2': 266, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 43, 'units1': 206, 'act1': 'linear', 'units2': 42, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -194, {'epochs': 240, 'units1': 87, 'act1': 'softmax', 'units2': 98, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 141, 'units1': 242, 'act1': 'sigmoid', 'units2': 74, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 203, 'units1': 138, 'act1': 'relu', 'units2': 103, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
2, 13, 298, {'epochs': 150, 'units1': 153, 'act1': 'elu', 'units2': 81, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 81, 'units1': 175, 'act1': 'softmax', 'units2': 31, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 93, 'units1': 162, 'act1': 'linear', 'units2': 26, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -200, {'epochs': 0, 'units1': 201, 'act1': 'softmax', 'units2': 232, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -191, {'epochs': 75, 'units1': 42, 'act1': 'sigmoid', 'units2': 231, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 203, 'units1': 133, 'act1': 'softmax', 'units2': 111, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 139, 'units1': 254, 'act1': 'sigmoid', 'units2': 74, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 45, 'units1': 194, 'act1': 'softmax', 'units2': 42, 'act2': 'linear', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 84, 'units1': 170, 'act1': 'softmax', 'units2': 18, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 580, {'epochs': 141, 'units1': 146, 'act1': 'linear', 'units2': 90, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 1, 'units1': 198, 'act1': 'tanh', 'units2': 236, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -203, {'epochs': 144, 'units1': 169, 'act1': 'softmax', 'units2': 248, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
2, 217, 621, {'epochs': 103, 'units1': 94, 'act1': 'selu', 'units2': 120, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 166, 'units1': 30, 'act1': 'softmax', 'units2': 14, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 583, {'epochs': 27, 'units1': 90, 'act1': 'selu', 'units2': 119, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -206, {'epochs': 68, 'units1': 42, 'act1': 'selu', 'units2': 226, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 188, 'units1': 134, 'act1': 'relu', 'units2': 64, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 188, 'units1': 134, 'act1': 'relu', 'units2': 64, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 64, 'units1': 41, 'act1': 'selu', 'units2': 232, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 69, 'units1': 259, 'act1': 'tanh', 'units2': 256, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 199, 'units1': 142, 'act1': 'softmax', 'units2': 104, 'act2': 'relu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
4, 245, 1641, {'epochs': 171, 'units1': 26, 'act1': 'softmax', 'units2': 7, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 139, 'units1': 246, 'act1': 'sigmoid', 'units2': 64, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 77, 'units1': 50, 'act1': 'sigmoid', 'units2': 90, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -202, {'epochs': 103, 'units1': 94, 'act1': 'tanh', 'units2': 216, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 175, 'units1': 23, 'act1': 'softmax', 'units2': 5, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 43, 'units1': 198, 'act1': 'softmax', 'units2': 32, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 75, 'units1': 62, 'act1': 'sigmoid', 'units2': 90, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 585, {'epochs': 75, 'units1': 90, 'act1': 'tanh', 'units2': 151, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 75, 'units1': 90, 'act1': 'tanh', 'units2': 151, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 22, -195, {'epochs': 7, 'units1': 206, 'act1': 'tanh', 'units2': 232, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
