Generation: 4
1, 9, -200, {'epochs': 171, 'units1': 26, 'act1': 'softmax', 'units2': 7, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 593, {'epochs': 103, 'units1': 94, 'act1': 'selu', 'units2': 120, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 97, 'units1': 156, 'act1': 'tanh', 'units2': 244, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 27, 'units1': 90, 'act1': 'selu', 'units2': 119, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 11, -185, {'epochs': 141, 'units1': 146, 'act1': 'linear', 'units2': 90, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 590, {'epochs': 150, 'units1': 153, 'act1': 'elu', 'units2': 81, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 167, 'units1': 30, 'act1': 'selu', 'units2': 8, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 141, 'units1': 242, 'act1': 'sigmoid', 'units2': 74, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 139, 'units1': 254, 'act1': 'sigmoid', 'units2': 74, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 199, 'units1': 142, 'act1': 'softmax', 'units2': 104, 'act2': 'relu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 158, 'units1': 161, 'act1': 'softmax', 'units2': 249, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 75, 'units1': 90, 'act1': 'sigmoid', 'units2': 151, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 188, 'units1': 134, 'act1': 'sigmoid', 'units2': 64, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 173, 'units1': 43, 'act1': 'softmax', 'units2': 225, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 157, 'units1': 121, 'act1': 'sigmoid', 'units2': 266, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 43, 'units1': 206, 'act1': 'linear', 'units2': 42, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 203, 'units1': 138, 'act1': 'relu', 'units2': 103, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 203, 'units1': 133, 'act1': 'softmax', 'units2': 111, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 45, 'units1': 194, 'act1': 'softmax', 'units2': 42, 'act2': 'linear', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 1, 'units1': 198, 'act1': 'tanh', 'units2': 236, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 90, {'epochs': 166, 'units1': 30, 'act1': 'softmax', 'units2': 14, 'act2': 'selu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -200, {'epochs': 188, 'units1': 134, 'act1': 'relu', 'units2': 64, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -206, {'epochs': 64, 'units1': 41, 'act1': 'selu', 'units2': 232, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 69, 'units1': 259, 'act1': 'tanh', 'units2': 256, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 139, 'units1': 246, 'act1': 'sigmoid', 'units2': 64, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 78, 'units1': 81, 'act1': 'tanh', 'units2': 153, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 155, 'units1': 170, 'act1': 'relu', 'units2': 247, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 69, 'units1': 83, 'act1': 'sigmoid', 'units2': 144, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 75, 'units1': 10, 'act1': 'softmax', 'units2': 7, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
