Generation: 1
1, 200, 99, {'epochs': 113, 'units1': 237, 'act1': 'softmax', 'units2': 250, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 129, 'units1': 187, 'act1': 'tanh', 'units2': 207, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
2, 216, 623, {'epochs': 31, 'units1': 201, 'act1': 'linear', 'units2': 132, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -191, {'epochs': 139, 'units1': 132, 'act1': 'linear', 'units2': 189, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 115, 'units1': 52, 'act1': 'softmax', 'units2': 195, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 91, 'units1': 129, 'act1': 'sigmoid', 'units2': 198, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
5, 61, 1855, {'epochs': 243, 'units1': 162, 'act1': 'relu', 'units2': 154, 'act2': 'elu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 40, 'units1': 140, 'act1': 'linear', 'units2': 161, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 112, 'units1': 175, 'act1': 'linear', 'units2': 239, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 162, 'units1': 58, 'act1': 'elu', 'units2': 237, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 172, 'units1': 236, 'act1': 'relu', 'units2': 59, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 94, 'units1': 226, 'act1': 'tanh', 'units2': 192, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 232, 'units1': 224, 'act1': 'softmax', 'units2': 52, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 11, -211, {'epochs': 234, 'units1': 48, 'act1': 'selu', 'units2': 89, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -197, {'epochs': 202, 'units1': 54, 'act1': 'softmax', 'units2': 212, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 3, 'units1': 220, 'act1': 'linear', 'units2': 185, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 211, 'units1': 143, 'act1': 'sigmoid', 'units2': 199, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -198, {'epochs': 225, 'units1': 71, 'act1': 'softmax', 'units2': 64, 'act2': 'relu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 37, 'units1': 254, 'act1': 'sigmoid', 'units2': 212, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 19, -195, {'epochs': 244, 'units1': 111, 'act1': 'tanh', 'units2': 248, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
2, 21, 317, {'epochs': 243, 'units1': 113, 'act1': 'relu', 'units2': 212, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 43, 'units1': 18, 'act1': 'tanh', 'units2': 22, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 71, 'units1': 47, 'act1': 'tanh', 'units2': 90, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 234, 'units1': 56, 'act1': 'sigmoid', 'units2': 27, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -191, {'epochs': 122, 'units1': 24, 'act1': 'relu', 'units2': 169, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 20, -167, {'epochs': 59, 'units1': 172, 'act1': 'elu', 'units2': 217, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 588, {'epochs': 227, 'units1': 52, 'act1': 'relu', 'units2': 250, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 23, 'units1': 114, 'act1': 'softmax', 'units2': 45, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 27, 'units1': 140, 'act1': 'softmax', 'units2': 223, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
