Generation: 2
1, 200, 582, {'epochs': 243, 'units1': 162, 'act1': 'relu', 'units2': 154, 'act2': 'elu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 31, 'units1': 201, 'act1': 'linear', 'units2': 132, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 588, {'epochs': 182, 'units1': 78, 'act1': 'tanh', 'units2': 85, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 227, 'units1': 52, 'act1': 'relu', 'units2': 250, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
4, 239, 1806, {'epochs': 87, 'units1': 102, 'act1': 'selu', 'units2': 142, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 159, 'units1': 245, 'act1': 'sigmoid', 'units2': 4, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 190, 'units1': 113, 'act1': 'softmax', 'units2': 176, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 96, {'epochs': 243, 'units1': 113, 'act1': 'relu', 'units2': 212, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 30, -191, {'epochs': 155, 'units1': 105, 'act1': 'relu', 'units2': 189, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -204, {'epochs': 113, 'units1': 237, 'act1': 'softmax', 'units2': 250, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 129, 'units1': 187, 'act1': 'tanh', 'units2': 207, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
