Generation: 24
1, 200, 99, {'epochs': 204, 'units1': 111, 'act1': 'sigmoid', 'units2': 42, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 172, 'units1': 60, 'act1': 'elu', 'units2': 235, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -195, {'epochs': 179, 'units1': 1, 'act1': 'linear', 'units2': 228, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 281, 'units1': 148, 'act1': 'elu', 'units2': 79, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -188, {'epochs': 172, 'units1': 60, 'act1': 'sigmoid', 'units2': 235, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 120, 'units1': 248, 'act1': 'linear', 'units2': 15, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -185, {'epochs': 161, 'units1': 50, 'act1': 'elu', 'units2': 236, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 117, 'units1': 251, 'act1': 'sigmoid', 'units2': 5, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 188, 'units1': 15, 'act1': 'linear', 'units2': 234, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 56, 'units1': 88, 'act1': 'softmax', 'units2': 47, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 161, 'units1': 50, 'act1': 'sigmoid', 'units2': 236, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 172, 'units1': 60, 'act1': 'elu', 'units2': 235, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 252, 'units1': 108, 'act1': 'linear', 'units2': 59, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 188, 'units1': 15, 'act1': 'sigmoid', 'units2': 234, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -203, {'epochs': 167, 'units1': 57, 'act1': 'elu', 'units2': 228, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 8, 'units1': 88, 'act1': 'sigmoid', 'units2': 111, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -206, {'epochs': 306, 'units1': 81, 'act1': 'sigmoid', 'units2': 42, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 195, 'units1': 97, 'act1': 'elu', 'units2': 36, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 172, 'units1': 60, 'act1': 'elu', 'units2': 235, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 238, 'units1': 103, 'act1': 'sigmoid', 'units2': 322, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 204, 'units1': 108, 'act1': 'elu', 'units2': 43, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 162, 'units1': 49, 'act1': 'elu', 'units2': 234, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -183, {'epochs': 228, 'units1': 157, 'act1': 'sigmoid', 'units2': 287, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 188, 'units1': 15, 'act1': 'sigmoid', 'units2': 234, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -206, {'epochs': 243, 'units1': 97, 'act1': 'sigmoid', 'units2': 52, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 108, {'epochs': 184, 'units1': 8, 'act1': 'sigmoid', 'units2': 239, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -188, {'epochs': 124, 'units1': 255, 'act1': 'sigmoid', 'units2': 10, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 17, 'units1': 146, 'act1': 'sigmoid', 'units2': 76, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 169, 'units1': 52, 'act1': 'sigmoid', 'units2': 239, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -198, {'epochs': 178, 'units1': 1, 'act1': 'linear', 'units2': 234, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 60, 'units1': 95, 'act1': 'softmax', 'units2': 42, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 169, 'units1': 52, 'act1': 'sigmoid', 'units2': 239, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 23, 'units1': 153, 'act1': 'sigmoid', 'units2': 68, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 204, 'units1': 111, 'act1': 'sigmoid', 'units2': 42, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 188, 'units1': 12, 'act1': 'linear', 'units2': 235, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 124, 'units1': 252, 'act1': 'sigmoid', 'units2': 11, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 168, 'units1': 56, 'act1': 'sigmoid', 'units2': 239, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 165, 'units1': 59, 'act1': 'sigmoid', 'units2': 229, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 113, 'units1': 242, 'act1': 'linear', 'units2': 12, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 162, 'units1': 49, 'act1': 'elu', 'units2': 234, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 49, 'units1': 82, 'act1': 'softmax', 'units2': 44, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 96, {'epochs': 124, 'units1': 252, 'act1': 'sigmoid', 'units2': 11, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 99, {'epochs': 200, 'units1': 104, 'act1': 'sigmoid', 'units2': 47, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -185, {'epochs': 60, 'units1': 92, 'act1': 'softmax', 'units2': 43, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 162, 'units1': 49, 'act1': 'elu', 'units2': 234, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 177, 'units1': 2, 'act1': 'sigmoid', 'units2': 236, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
