Generation: 5
1, 200, 105, {'epochs': 87, 'units1': 102, 'act1': 'selu', 'units2': 142, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 83, 'units1': 100, 'act1': 'selu', 'units2': 138, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 21, -194, {'epochs': 90, 'units1': 104, 'act1': 'elu', 'units2': 139, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 83, 'units1': 100, 'act1': 'selu', 'units2': 138, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
5, 77, 1853, {'epochs': 322, 'units1': 165, 'act1': 'relu', 'units2': 266, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 227, 'units1': 52, 'act1': 'sigmoid', 'units2': 26, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
4, 229, 1635, {'epochs': 234, 'units1': 56, 'act1': 'linear', 'units2': 251, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 17, -196, {'epochs': 182, 'units1': 78, 'act1': 'tanh', 'units2': 85, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 115, 'units1': 161, 'act1': 'sigmoid', 'units2': 228, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 35, 'units1': 244, 'act1': 'relu', 'units2': 218, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 231, 'units1': 226, 'act1': 'sigmoid', 'units2': 61, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 74, 'units1': 334, 'act1': 'sigmoid', 'units2': 221, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 99, {'epochs': 162, 'units1': 58, 'act1': 'elu', 'units2': 237, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 239, 'units1': 53, 'act1': 'softmax', 'units2': 20, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 232, 'units1': 224, 'act1': 'softmax', 'units2': 52, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 147, 'units1': 244, 'act1': 'sigmoid', 'units2': 10, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -209, {'epochs': 122, 'units1': 168, 'act1': 'sigmoid', 'units2': 235, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 114, {'epochs': 167, 'units1': 54, 'act1': 'sigmoid', 'units2': 142, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 120, 'units1': 88, 'act1': 'elu', 'units2': 20, 'act2': 'softmax', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 119, 'units1': 166, 'act1': 'linear', 'units2': 238, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 99, {'epochs': 120, 'units1': 160, 'act1': 'sigmoid', 'units2': 228, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 99, {'epochs': 163, 'units1': 49, 'act1': 'sigmoid', 'units2': 228, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 249, 'units1': 211, 'act1': 'sigmoid', 'units2': 209, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 21, -194, {'epochs': 120, 'units1': 88, 'act1': 'softmax', 'units2': 276, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 172, 'units1': 236, 'act1': 'relu', 'units2': 59, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 96, {'epochs': 163, 'units1': 49, 'act1': 'sigmoid', 'units2': 228, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 99, {'epochs': 114, 'units1': 170, 'act1': 'linear', 'units2': 237, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 96, {'epochs': 152, 'units1': 248, 'act1': 'sigmoid', 'units2': 4, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -188, {'epochs': 115, 'units1': 84, 'act1': 'softmax', 'units2': 26, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
