Generation: 1
1, 200, -571, {'epochs': 59, 'units1': 203, 'act1': 'softmax', 'units2': 202, 'act2': 'selu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -189, {'epochs': 182, 'units1': 247, 'act1': 'linear', 'units2': 168, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 201, 'units1': 49, 'act1': 'softmax', 'units2': 43, 'act2': 'softmax', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -511, {'epochs': 31, 'units1': 68, 'act1': 'relu', 'units2': 216, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -279, {'epochs': 8, 'units1': 251, 'act1': 'linear', 'units2': 31, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -581, {'epochs': 83, 'units1': 44, 'act1': 'elu', 'units2': 247, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 231, 'units1': 136, 'act1': 'elu', 'units2': 240, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 8, 'units1': 127, 'act1': 'selu', 'units2': 120, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
2, 217, 641, {'epochs': 159, 'units1': 254, 'act1': 'tanh', 'units2': 120, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
5, 58, 1836, {'epochs': 217, 'units1': 192, 'act1': 'tanh', 'units2': 140, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 16, 'units1': 216, 'act1': 'relu', 'units2': 4, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 121, 'units1': 49, 'act1': 'sigmoid', 'units2': 70, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -191, {'epochs': 212, 'units1': 131, 'act1': 'selu', 'units2': 218, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
