Generation: 3
2, 234, 614, {'epochs': 182, 'units1': 1, 'act1': 'elu', 'units2': 27, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 17, -170, {'epochs': 185, 'units1': 247, 'act1': 'tanh', 'units2': 161, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 235, 594, {'epochs': 218, 'units1': 119, 'act1': 'tanh', 'units2': 124, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -301, {'epochs': 216, 'units1': 138, 'act1': 'selu', 'units2': 215, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 63, 'units1': 78, 'act1': 'linear', 'units2': 104, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -198, {'epochs': 54, 'units1': 71, 'act1': 'linear', 'units2': 104, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -183, {'epochs': 246, 'units1': 119, 'act1': 'linear', 'units2': 148, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 210, 'units1': 201, 'act1': 'tanh', 'units2': 132, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 33, -185, {'epochs': 182, 'units1': 241, 'act1': 'tanh', 'units2': 171, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 40, -201, {'epochs': 182, 'units1': 7, 'act1': 'elu', 'units2': 24, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 58, 'units1': 182, 'act1': 'relu', 'units2': 31, 'act2': 'relu', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 21, -194, {'epochs': 98, 'units1': 82, 'act1': 'tanh', 'units2': 17, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 19, -205, {'epochs': 253, 'units1': 127, 'act1': 'elu', 'units2': 152, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -206, {'epochs': 57, 'units1': 71, 'act1': 'linear', 'units2': 97, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -213, {'epochs': 11, 'units1': 31, 'act1': 'elu', 'units2': 130, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
2, 11, 310, {'epochs': 48, 'units1': 187, 'act1': 'elu', 'units2': 231, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 50, 'units1': 185, 'act1': 'selu', 'units2': 228, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 11, -184, {'epochs': 176, 'units1': 159, 'act1': 'selu', 'units2': 97, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 21, -197, {'epochs': 15, 'units1': 19, 'act1': 'elu', 'units2': 137, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 23, -193, {'epochs': 98, 'units1': 211, 'act1': 'selu', 'units2': 237, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 212, 'units1': 131, 'act1': 'selu', 'units2': 218, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 116, {'epochs': 132, 'units1': 99, 'act1': 'linear', 'units2': 170, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 184, 'units1': 10, 'act1': 'elu', 'units2': 23, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -185, {'epochs': 64, 'units1': 15, 'act1': 'tanh', 'units2': 209, 'act2': 'linear', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
2, 9, 300, {'epochs': 134, 'units1': 199, 'act1': 'softmax', 'units2': 244, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -504, {'epochs': 214, 'units1': 113, 'act1': 'tanh', 'units2': 123, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 186, 'units1': 7, 'act1': 'elu', 'units2': 28, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 116, {'epochs': 52, 'units1': 67, 'act1': 'elu', 'units2': 106, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 134, 'units1': 103, 'act1': 'relu', 'units2': 168, 'act2': 'linear', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 30, -191, {'epochs': 13, 'units1': 31, 'act1': 'elu', 'units2': 136, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
2, 18, 308, {'epochs': 255, 'units1': 115, 'act1': 'linear', 'units2': 153, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 54, 'units1': 177, 'act1': 'relu', 'units2': 27, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 186, 'units1': 6, 'act1': 'elu', 'units2': 31, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
5, 69, 1834, {'epochs': 178, 'units1': 9, 'act1': 'elu', 'units2': 20, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
5, 233, 1791, {'epochs': 54, 'units1': 183, 'act1': 'elu', 'units2': 232, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 58, 'units1': 71, 'act1': 'elu', 'units2': 108, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -550, {'epochs': 223, 'units1': 126, 'act1': 'tanh', 'units2': 120, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
2, 23, 303, {'epochs': 98, 'units1': 217, 'act1': 'elu', 'units2': 228, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 82, -186, {'epochs': 210, 'units1': 195, 'act1': 'tanh', 'units2': 141, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -197, {'epochs': 58, 'units1': 71, 'act1': 'elu', 'units2': 108, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 217, 'units1': 119, 'act1': 'tanh', 'units2': 113, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 246, 'units1': 119, 'act1': 'linear', 'units2': 152, 'act2': 'elu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 77, -194, {'epochs': 61, 'units1': 79, 'act1': 'elu', 'units2': 104, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 184, 'units1': 10, 'act1': 'elu', 'units2': 23, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 182, 'units1': 1, 'act1': 'elu', 'units2': 27, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
2, 46, 312, {'epochs': 191, 'units1': 158, 'act1': 'tanh', 'units2': 104, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -556, {'epochs': 48, 'units1': 79, 'act1': 'elu', 'units2': 97, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
4, 260, 968, {'epochs': 178, 'units1': 242, 'act1': 'linear', 'units2': 161, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 127, {'epochs': 102, 'units1': 81, 'act1': 'relu', 'units2': 27, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -203, {'epochs': 249, 'units1': 119, 'act1': 'elu', 'units2': 145, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
