Generation: 8
1, 23, -193, {'epochs': 178, 'units1': 9, 'act1': 'elu', 'units2': 20, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 178, 'units1': 242, 'act1': 'tanh', 'units2': 161, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 170, 'units1': 192, 'act1': 'linear', 'units2': 283, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
8, 393, 3298, {'epochs': 50, 'units1': 66, 'act1': 'elu', 'units2': 97, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 67, -177, {'epochs': 189, 'units1': 255, 'act1': 'tanh', 'units2': 168, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -210, {'epochs': 178, 'units1': 9, 'act1': 'elu', 'units2': 20, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 21, -194, {'epochs': 304, 'units1': 200, 'act1': 'linear', 'units2': 214, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 185, 'units1': 247, 'act1': 'linear', 'units2': 161, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 182, 'units1': 247, 'act1': 'linear', 'units2': 164, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
6, 39, 2336, {'epochs': 191, 'units1': 158, 'act1': 'selu', 'units2': 104, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 22, -207, {'epochs': 182, 'units1': 247, 'act1': 'tanh', 'units2': 164, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 107, {'epochs': 194, 'units1': 298, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 107, {'epochs': 189, 'units1': 159, 'act1': 'tanh', 'units2': 104, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 178, 'units1': 2, 'act1': 'elu', 'units2': 17, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
5, 79, 1816, {'epochs': 185, 'units1': 247, 'act1': 'tanh', 'units2': 161, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
2, 216, 618, {'epochs': 189, 'units1': 255, 'act1': 'linear', 'units2': 168, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 224, 'units1': 149, 'act1': 'relu', 'units2': 195, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 11, -211, {'epochs': 255, 'units1': 115, 'act1': 'linear', 'units2': 153, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -207, {'epochs': 246, 'units1': 119, 'act1': 'elu', 'units2': 148, 'act2': 'linear', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 76, -174, {'epochs': 189, 'units1': 15, 'act1': 'elu', 'units2': 24, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
9, 99, 3903, {'epochs': 180, 'units1': 243, 'act1': 'tanh', 'units2': 170, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 75, {'epochs': 50, 'units1': 66, 'act1': 'elu', 'units2': 97, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
2, 10, 299, {'epochs': 130, 'units1': 98, 'act1': 'linear', 'units2': 161, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 19, -195, {'epochs': 54, 'units1': 65, 'act1': 'linear', 'units2': 107, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 10, -192, {'epochs': 178, 'units1': 249, 'act1': 'tanh', 'units2': 164, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 110, {'epochs': 249, 'units1': 119, 'act1': 'elu', 'units2': 145, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 23, -193, {'epochs': 178, 'units1': 10, 'act1': 'elu', 'units2': 28, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -197, {'epochs': 192, 'units1': 32, 'act1': 'linear', 'units2': 180, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 17, -196, {'epochs': 61, 'units1': 79, 'act1': 'elu', 'units2': 104, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 109, {'epochs': 182, 'units1': 241, 'act1': 'linear', 'units2': 171, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 114, -153, {'epochs': 194, 'units1': 41, 'act1': 'linear', 'units2': 180, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 178, 'units1': 10, 'act1': 'elu', 'units2': 28, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 93, {'epochs': 57, 'units1': 71, 'act1': 'linear', 'units2': 97, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
3, 47, 832, {'epochs': 178, 'units1': 242, 'act1': 'tanh', 'units2': 161, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 10, -189, {'epochs': 48, 'units1': 64, 'act1': 'elu', 'units2': 100, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -204, {'epochs': 182, 'units1': 1, 'act1': 'elu', 'units2': 27, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -268, {'epochs': 180, 'units1': 243, 'act1': 'tanh', 'units2': 170, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -220, {'epochs': 182, 'units1': 247, 'act1': 'linear', 'units2': 164, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
2, 22, 319, {'epochs': 189, 'units1': 15, 'act1': 'elu', 'units2': 24, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
5, 276, 1756, {'epochs': 178, 'units1': 146, 'act1': 'selu', 'units2': 97, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 130, 'units1': 98, 'act1': 'linear', 'units2': 161, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 178, 'units1': 242, 'act1': 'linear', 'units2': 161, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 10, -210, {'epochs': 191, 'units1': 3, 'act1': 'elu', 'units2': 25, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 253, 'units1': 127, 'act1': 'elu', 'units2': 152, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
