Generation: 1
8, 106, 3411, {'epochs': 226, 'units1': 198, 'act1': 'tanh', 'units2': 253, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 144, 'units1': 249, 'act1': 'sigmoid', 'units2': 185, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 131, 'units1': 233, 'act1': 'sigmoid', 'units2': 124, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 42, 'units1': 92, 'act1': 'sigmoid', 'units2': 8, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 111, 'units1': 220, 'act1': 'tanh', 'units2': 237, 'act2': 'softmax', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 236, 'units1': 57, 'act1': 'tanh', 'units2': 129, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 119, {'epochs': 176, 'units1': 65, 'act1': 'selu', 'units2': 197, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 167, 'units1': 201, 'act1': 'linear', 'units2': 58, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 26, 'units1': 145, 'act1': 'selu', 'units2': 185, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
2, 232, 606, {'epochs': 99, 'units1': 215, 'act1': 'relu', 'units2': 185, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -535, {'epochs': 40, 'units1': 151, 'act1': 'elu', 'units2': 53, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
5, 62, 1854, {'epochs': 154, 'units1': 89, 'act1': 'relu', 'units2': 198, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 56, 'units1': 25, 'act1': 'softmax', 'units2': 140, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 250, 'units1': 44, 'act1': 'sigmoid', 'units2': 65, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 240, 'units1': 48, 'act1': 'softmax', 'units2': 219, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -209, {'epochs': 107, 'units1': 105, 'act1': 'selu', 'units2': 217, 'act2': 'relu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -194, {'epochs': 230, 'units1': 210, 'act1': 'elu', 'units2': 173, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 60, 'units1': 43, 'act1': 'relu', 'units2': 27, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 164, 'units1': 177, 'act1': 'sigmoid', 'units2': 161, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 21, -197, {'epochs': 92, 'units1': 57, 'act1': 'elu', 'units2': 228, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -203, {'epochs': 139, 'units1': 9, 'act1': 'sigmoid', 'units2': 205, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 29, -202, {'epochs': 235, 'units1': 81, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 20, 'units1': 160, 'act1': 'relu', 'units2': 210, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 191, 'units1': 244, 'act1': 'sigmoid', 'units2': 101, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -561, {'epochs': 154, 'units1': 11, 'act1': 'sigmoid', 'units2': 146, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -584, {'epochs': 74, 'units1': 238, 'act1': 'linear', 'units2': 177, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 70, 'units1': 62, 'act1': 'softmax', 'units2': 173, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -197, {'epochs': 220, 'units1': 184, 'act1': 'softmax', 'units2': 55, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 131, 'units1': 55, 'act1': 'tanh', 'units2': 129, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 104, 'units1': 170, 'act1': 'selu', 'units2': 159, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -198, {'epochs': 148, 'units1': 163, 'act1': 'sigmoid', 'units2': 61, 'act2': 'softmax', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 164, 'units1': 143, 'act1': 'softmax', 'units2': 52, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 70, 'units1': 230, 'act1': 'tanh', 'units2': 99, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 170, 'units1': 184, 'act1': 'softmax', 'units2': 146, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 35, 'units1': 104, 'act1': 'elu', 'units2': 50, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 16, -172, {'epochs': 155, 'units1': 69, 'act1': 'relu', 'units2': 139, 'act2': 'elu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 63, 'units1': 176, 'act1': 'elu', 'units2': 15, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 10, -186, {'epochs': 205, 'units1': 24, 'act1': 'elu', 'units2': 186, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -279, {'epochs': 217, 'units1': 156, 'act1': 'tanh', 'units2': 22, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -581, {'epochs': 241, 'units1': 254, 'act1': 'sigmoid', 'units2': 148, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 146, 'units1': 4, 'act1': 'selu', 'units2': 198, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 19, -195, {'epochs': 229, 'units1': 151, 'act1': 'selu', 'units2': 92, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 3, 'units1': 23, 'act1': 'sigmoid', 'units2': 102, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 253, 'units1': 57, 'act1': 'sigmoid', 'units2': 112, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 155, 'units1': 151, 'act1': 'softmax', 'units2': 229, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 41, 'units1': 114, 'act1': 'sigmoid', 'units2': 217, 'act2': 'selu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
