Generation: 2
1, 68, -151, {'epochs': 226, 'units1': 198, 'act1': 'tanh', 'units2': 253, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 154, 'units1': 89, 'act1': 'relu', 'units2': 198, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -201, {'epochs': 99, 'units1': 215, 'act1': 'relu', 'units2': 185, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 176, 'units1': 65, 'act1': 'selu', 'units2': 197, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -528, {'epochs': 145, 'units1': 85, 'act1': 'relu', 'units2': 39, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 20, -203, {'epochs': 155, 'units1': 69, 'act1': 'relu', 'units2': 139, 'act2': 'elu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 205, 'units1': 24, 'act1': 'elu', 'units2': 186, 'act2': 'relu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 80, 'units1': 125, 'act1': 'tanh', 'units2': 81, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 10, -213, {'epochs': 230, 'units1': 210, 'act1': 'elu', 'units2': 173, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -556, {'epochs': 229, 'units1': 151, 'act1': 'selu', 'units2': 92, 'act2': 'softmax', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
2, 18, 326, {'epochs': 92, 'units1': 57, 'act1': 'elu', 'units2': 228, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -203, {'epochs': 220, 'units1': 184, 'act1': 'softmax', 'units2': 55, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -574, {'epochs': 148, 'units1': 163, 'act1': 'sigmoid', 'units2': 61, 'act2': 'softmax', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 235, 'units1': 81, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 139, 'units1': 9, 'act1': 'sigmoid', 'units2': 205, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 10, -210, {'epochs': 107, 'units1': 105, 'act1': 'selu', 'units2': 217, 'act2': 'relu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -574, {'epochs': 144, 'units1': 249, 'act1': 'sigmoid', 'units2': 185, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -584, {'epochs': 56, 'units1': 25, 'act1': 'softmax', 'units2': 140, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
