Generation: 17
1, 200, 113, {'epochs': 238, 'units1': 223, 'act1': 'tanh', 'units2': 170, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 20, -196, {'epochs': 239, 'units1': 95, 'act1': 'tanh', 'units2': 191, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 238, 'units1': 95, 'act1': 'linear', 'units2': 186, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -558, {'epochs': 177, 'units1': 73, 'act1': 'elu', 'units2': 330, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 234, 'units1': 278, 'act1': 'elu', 'units2': 173, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 11, -211, {'epochs': 177, 'units1': 73, 'act1': 'relu', 'units2': 74, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 177, 'units1': 73, 'act1': 'relu', 'units2': 74, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -200, {'epochs': 95, 'units1': 63, 'act1': 'relu', 'units2': 239, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 10, -213, {'epochs': 227, 'units1': 215, 'act1': 'elu', 'units2': 169, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 238, 'units1': 95, 'act1': 'tanh', 'units2': 186, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 19, -195, {'epochs': 227, 'units1': 215, 'act1': 'tanh', 'units2': 169, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
