Generation: 5
1, 200, -551, {'epochs': 96, 'units1': 173, 'act1': 'relu', 'units2': 145, 'act2': 'selu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -584, {'epochs': 139, 'units1': 5, 'act1': 'sigmoid', 'units2': 203, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 227, 'units1': 215, 'act1': 'tanh', 'units2': 169, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 27, 'units1': 5, 'act1': 'relu', 'units2': 59, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 105, {'epochs': 155, 'units1': 73, 'act1': 'relu', 'units2': 141, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -571, {'epochs': 265, 'units1': 177, 'act1': 'selu', 'units2': 119, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 35, -191, {'epochs': 174, 'units1': 127, 'act1': 'relu', 'units2': 266, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 268, 'units1': 258, 'act1': 'tanh', 'units2': 176, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
2, 249, 590, {'epochs': 229, 'units1': 87, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 104, {'epochs': 150, 'units1': 66, 'act1': 'elu', 'units2': 141, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -207, {'epochs': 82, 'units1': 54, 'act1': 'elu', 'units2': 237, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 116, {'epochs': 226, 'units1': 86, 'act1': 'tanh', 'units2': 189, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 21, -221, {'epochs': 226, 'units1': 214, 'act1': 'elu', 'units2': 173, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 107, 'units1': 217, 'act1': 'elu', 'units2': 185, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 156, 'units1': 73, 'act1': 'relu', 'units2': 132, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 226, 'units1': 283, 'act1': 'elu', 'units2': 233, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 113, {'epochs': 235, 'units1': 201, 'act1': 'relu', 'units2': 249, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 11, -214, {'epochs': 104, 'units1': 170, 'act1': 'selu', 'units2': 159, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 99, 'units1': 215, 'act1': 'relu', 'units2': 185, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 110, {'epochs': 92, 'units1': 57, 'act1': 'elu', 'units2': 228, 'act2': 'relu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 17, 308, {'epochs': 227, 'units1': 199, 'act1': 'tanh', 'units2': 249, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 18, -194, {'epochs': 98, 'units1': 166, 'act1': 'relu', 'units2': 157, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 235, 'units1': 81, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 150, 'units1': 66, 'act1': 'elu', 'units2': 141, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 17, -196, {'epochs': 108, 'units1': 105, 'act1': 'selu', 'units2': 212, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 146, 'units1': 70, 'act1': 'relu', 'units2': 141, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 102, 'units1': 162, 'act1': 'selu', 'units2': 157, 'act2': 'relu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 98, 'units1': 214, 'act1': 'elu', 'units2': 189, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -501, {'epochs': 83, 'units1': 55, 'act1': 'relu', 'units2': 233, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 28, -204, {'epochs': 99, 'units1': 167, 'act1': 'selu', 'units2': 153, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 226, 'units1': 198, 'act1': 'relu', 'units2': 253, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 224, 'units1': 221, 'act1': 'elu', 'units2': 161, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 101, 'units1': 167, 'act1': 'selu', 'units2': 156, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -523, {'epochs': 235, 'units1': 89, 'act1': 'linear', 'units2': 185, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -535, {'epochs': 101, 'units1': 215, 'act1': 'relu', 'units2': 188, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, -556, {'epochs': 83, 'units1': 55, 'act1': 'relu', 'units2': 233, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 116, {'epochs': 236, 'units1': 201, 'act1': 'relu', 'units2': 244, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -197, {'epochs': 144, 'units1': 77, 'act1': 'relu', 'units2': 129, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 138, {'epochs': 102, 'units1': 162, 'act1': 'selu', 'units2': 157, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 103, {'epochs': 227, 'units1': 215, 'act1': 'tanh', 'units2': 169, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 109, {'epochs': 224, 'units1': 221, 'act1': 'elu', 'units2': 161, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -191, {'epochs': 99, 'units1': 215, 'act1': 'relu', 'units2': 185, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 18, -212, {'epochs': 235, 'units1': 201, 'act1': 'relu', 'units2': 249, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -571, {'epochs': 162, 'units1': 118, 'act1': 'elu', 'units2': 13, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 102, {'epochs': 238, 'units1': 223, 'act1': 'tanh', 'units2': 170, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 227, 'units1': 199, 'act1': 'relu', 'units2': 249, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 17, -199, {'epochs': 227, 'units1': 199, 'act1': 'relu', 'units2': 249, 'act2': 'tanh', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 224, 'units1': 221, 'act1': 'elu', 'units2': 161, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -194, {'epochs': 99, 'units1': 167, 'act1': 'selu', 'units2': 153, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 96, 'units1': 221, 'act1': 'relu', 'units2': 177, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
