Generation: 1
1, 19, -195, {'epochs': 55, 'units1': 6, 'act1': 'elu', 'units2': 241, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 20, -223, {'epochs': 209, 'units1': 160, 'act1': 'elu', 'units2': 237, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
2, 19, 322, {'epochs': 99, 'units1': 231, 'act1': 'linear', 'units2': 134, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 57, 'units1': 139, 'act1': 'tanh', 'units2': 127, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 80, 'units1': 207, 'act1': 'relu', 'units2': 136, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 217, 'units1': 73, 'act1': 'softmax', 'units2': 226, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 10, -204, {'epochs': 3, 'units1': 132, 'act1': 'elu', 'units2': 24, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 122, 'units1': 91, 'act1': 'linear', 'units2': 122, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 205, 'units1': 87, 'act1': 'sigmoid', 'units2': 195, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 13, 'units1': 131, 'act1': 'tanh', 'units2': 251, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -321, {'epochs': 131, 'units1': 110, 'act1': 'sigmoid', 'units2': 14, 'act2': 'relu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -206, {'epochs': 180, 'units1': 94, 'act1': 'softmax', 'units2': 175, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 81, 'units1': 162, 'act1': 'softmax', 'units2': 79, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -545, {'epochs': 128, 'units1': 159, 'act1': 'selu', 'units2': 146, 'act2': 'softmax', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 103, {'epochs': 59, 'units1': 164, 'act1': 'selu', 'units2': 69, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 246, 'units1': 212, 'act1': 'softmax', 'units2': 128, 'act2': 'sigmoid', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 113, {'epochs': 205, 'units1': 20, 'act1': 'tanh', 'units2': 85, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 84, 'units1': 247, 'act1': 'sigmoid', 'units2': 65, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 206, 'units1': 25, 'act1': 'softmax', 'units2': 64, 'act2': 'relu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 194, 'units1': 47, 'act1': 'relu', 'units2': 129, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -571, {'epochs': 253, 'units1': 26, 'act1': 'softmax', 'units2': 10, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -194, {'epochs': 230, 'units1': 206, 'act1': 'sigmoid', 'units2': 124, 'act2': 'softmax', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 107, {'epochs': 99, 'units1': 231, 'act1': 'tanh', 'units2': 210, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 84, 'units1': 168, 'act1': 'selu', 'units2': 146, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
