Generation: 2
1, 200, 113, {'epochs': 40, 'units1': 222, 'act1': 'selu', 'units2': 219, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -209, {'epochs': 67, 'units1': 153, 'act1': 'tanh', 'units2': 55, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
4, 255, 971, {'epochs': 99, 'units1': 231, 'act1': 'linear', 'units2': 134, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -501, {'epochs': 205, 'units1': 20, 'act1': 'tanh', 'units2': 85, 'act2': 'relu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
2, 64, 298, {'epochs': 102, 'units1': 218, 'act1': 'tanh', 'units2': 185, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 100, {'epochs': 99, 'units1': 231, 'act1': 'tanh', 'units2': 210, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 84, 'units1': 168, 'act1': 'selu', 'units2': 146, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 263, 'units1': 301, 'act1': 'selu', 'units2': 42, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 59, 'units1': 164, 'act1': 'selu', 'units2': 69, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 261, 'units1': 305, 'act1': 'linear', 'units2': 109, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 19, -198, {'epochs': 220, 'units1': 165, 'act1': 'linear', 'units2': 186, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -574, {'epochs': 190, 'units1': 85, 'act1': 'elu', 'units2': 18, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 196, 'units1': 104, 'act1': 'linear', 'units2': 140, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
