Generation: 22
1, 200, 84, {'epochs': 9, 'units1': 138, 'act1': 'tanh', 'units2': 89, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 116, 'units1': 94, 'act1': 'selu', 'units2': 207, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -206, {'epochs': 160, 'units1': 123, 'act1': 'selu', 'units2': 267, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 19, -192, {'epochs': 105, 'units1': 170, 'act1': 'linear', 'units2': 89, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -185, {'epochs': 184, 'units1': 248, 'act1': 'tanh', 'units2': 119, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 270, 'units1': 203, 'act1': 'tanh', 'units2': 190, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 105, 'units1': 170, 'act1': 'tanh', 'units2': 89, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 151, 'units1': 254, 'act1': 'selu', 'units2': 137, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
3, 30, 817, {'epochs': 153, 'units1': 186, 'act1': 'selu', 'units2': 73, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 12, -183, {'epochs': 99, 'units1': 174, 'act1': 'linear', 'units2': 83, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -191, {'epochs': 100, 'units1': 222, 'act1': 'relu', 'units2': 223, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -165, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -196, {'epochs': 100, 'units1': 174, 'act1': 'linear', 'units2': 95, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
2, 202, -80, {'epochs': 115, 'units1': 94, 'act1': 'selu', 'units2': 195, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 100, 'units1': 174, 'act1': 'tanh', 'units2': 95, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 20, -203, {'epochs': 183, 'units1': 206, 'act1': 'selu', 'units2': 185, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
4, 242, 952, {'epochs': 127, 'units1': 250, 'act1': 'linear', 'units2': 189, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -519, {'epochs': 105, 'units1': 218, 'act1': 'relu', 'units2': 217, 'act2': 'tanh', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 10, -183, {'epochs': 153, 'units1': 186, 'act1': 'selu', 'units2': 73, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 96, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 107, {'epochs': 147, 'units1': 190, 'act1': 'selu', 'units2': 67, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -554, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -581, {'epochs': 147, 'units1': 254, 'act1': 'selu', 'units2': 131, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 180, 'units1': 206, 'act1': 'selu', 'units2': 191, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 19, -207, {'epochs': 105, 'units1': 170, 'act1': 'tanh', 'units2': 89, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
4, 250, 963, {'epochs': 159, 'units1': 250, 'act1': 'selu', 'units2': 141, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
3, 226, 487, {'epochs': 115, 'units1': 254, 'act1': 'tanh', 'units2': 179, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 99, 'units1': 174, 'act1': 'tanh', 'units2': 83, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 10, -210, {'epochs': 121, 'units1': 90, 'act1': 'selu', 'units2': 201, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 191, 'units1': 202, 'act1': 'tanh', 'units2': 189, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 119, 'units1': 254, 'act1': 'tanh', 'units2': 185, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
2, 16, 309, {'epochs': 217, 'units1': 289, 'act1': 'selu', 'units2': 142, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -571, {'epochs': 103, 'units1': 174, 'act1': 'linear', 'units2': 89, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 20, -193, {'epochs': 153, 'units1': 186, 'act1': 'selu', 'units2': 73, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -546, {'epochs': 105, 'units1': 218, 'act1': 'tanh', 'units2': 217, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
2, 17, 311, {'epochs': 105, 'units1': 170, 'act1': 'linear', 'units2': 89, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 10, -210, {'epochs': 121, 'units1': 90, 'act1': 'selu', 'units2': 201, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
3, 35, 816, {'epochs': 99, 'units1': 174, 'act1': 'linear', 'units2': 83, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 100, 'units1': 174, 'act1': 'tanh', 'units2': 95, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 100, 'units1': 222, 'act1': 'tanh', 'units2': 223, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 24, -194, {'epochs': 153, 'units1': 186, 'act1': 'selu', 'units2': 73, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 11, -184, {'epochs': 165, 'units1': 306, 'act1': 'tanh', 'units2': 252, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -532, {'epochs': 180, 'units1': 206, 'act1': 'selu', 'units2': 191, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
