Generation: 51
1, 19, -207, {'epochs': 141, 'units1': 75, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
6, 112, 2402, {'epochs': 195, 'units1': 227, 'act1': 'linear', 'units2': 181, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -428, {'epochs': 82, 'units1': 227, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 18, -207, {'epochs': 128, 'units1': 162, 'act1': 'tanh', 'units2': 134, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 89, 'units1': 237, 'act1': 'linear', 'units2': 191, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
4, 315, 1606, {'epochs': 144, 'units1': 18, 'act1': 'tanh', 'units2': 246, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
4, 244, 1652, {'epochs': 109, 'units1': 172, 'act1': 'linear', 'units2': 88, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 80, 'units1': 226, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 80, 'units1': 226, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 130, 'units1': 163, 'act1': 'linear', 'units2': 140, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -546, {'epochs': 100, 'units1': 211, 'act1': 'tanh', 'units2': 172, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 17, -196, {'epochs': 130, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
9, 121, 3915, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -185, {'epochs': 92, 'units1': 234, 'act1': 'tanh', 'units2': 190, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 90, 'units1': 236, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
