Generation: 57
1, 19, -195, {'epochs': 196, 'units1': 157, 'act1': 'linear', 'units2': 216, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -487, {'epochs': 130, 'units1': 163, 'act1': 'linear', 'units2': 140, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 146, 'units1': 67, 'act1': 'tanh', 'units2': 188, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 98, 'units1': 163, 'act1': 'tanh', 'units2': 92, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -561, {'epochs': 157, 'units1': 28, 'act1': 'tanh', 'units2': 248, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 22, -201, {'epochs': 198, 'units1': 235, 'act1': 'linear', 'units2': 189, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 140, 'units1': 74, 'act1': 'tanh', 'units2': 190, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -470, {'epochs': 141, 'units1': 76, 'act1': 'tanh', 'units2': 184, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 10, -183, {'epochs': 230, 'units1': 67, 'act1': 'tanh', 'units2': 310, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 195, 'units1': 243, 'act1': 'tanh', 'units2': 181, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -188, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 11, -194, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 154, 'units1': 76, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 157, 'units1': 76, 'act1': 'tanh', 'units2': 184, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 110, {'epochs': 138, 'units1': 76, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 194, 'units1': 243, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 18, -197, {'epochs': 144, 'units1': 66, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 144, 'units1': 18, 'act1': 'linear', 'units2': 246, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -504, {'epochs': 141, 'units1': 76, 'act1': 'linear', 'units2': 184, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 125, {'epochs': 128, 'units1': 162, 'act1': 'tanh', 'units2': 134, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
2, 18, 313, {'epochs': 192, 'units1': 242, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 90, {'epochs': 205, 'units1': 252, 'act1': 'tanh', 'units2': 184, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -532, {'epochs': 140, 'units1': 74, 'act1': 'linear', 'units2': 190, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 154, 'units1': 76, 'act1': 'linear', 'units2': 183, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 130, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -514, {'epochs': 157, 'units1': 76, 'act1': 'linear', 'units2': 184, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 99, {'epochs': 138, 'units1': 76, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 146, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -212, {'epochs': 141, 'units1': 172, 'act1': 'linear', 'units2': 136, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -574, {'epochs': 128, 'units1': 66, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -574, {'epochs': 134, 'units1': 67, 'act1': 'linear', 'units2': 182, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 122, {'epochs': 234, 'units1': 76, 'act1': 'linear', 'units2': 55, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 148, 'units1': 29, 'act1': 'tanh', 'units2': 248, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 111, {'epochs': 192, 'units1': 146, 'act1': 'tanh', 'units2': 214, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 127, {'epochs': 202, 'units1': 252, 'act1': 'tanh', 'units2': 183, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 15, -177, {'epochs': 130, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
4, 239, 953, {'epochs': 146, 'units1': 19, 'act1': 'tanh', 'units2': 252, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
16, 269, 7490, {'epochs': 128, 'units1': 162, 'act1': 'tanh', 'units2': 134, 'act2': 'linear', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -191, {'epochs': 128, 'units1': 66, 'act1': 'tanh', 'units2': 182, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -200, {'epochs': 157, 'units1': 76, 'act1': 'tanh', 'units2': 184, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 18, -191, {'epochs': 146, 'units1': 67, 'act1': 'linear', 'units2': 188, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 154, 'units1': 76, 'act1': 'linear', 'units2': 183, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 113, {'epochs': 202, 'units1': 252, 'act1': 'linear', 'units2': 183, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -574, {'epochs': 141, 'units1': 76, 'act1': 'linear', 'units2': 184, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 251, 'units1': 77, 'act1': 'linear', 'units2': 143, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 134, 'units1': 163, 'act1': 'linear', 'units2': 134, 'act2': 'tanh', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -183, {'epochs': 156, 'units1': 74, 'act1': 'tanh', 'units2': 190, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
