Generation: 9
1, 16, -195, {'epochs': 48, 'units1': 175, 'act1': 'tanh', 'units2': 72, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 17, -196, {'epochs': 144, 'units1': 191, 'act1': 'selu', 'units2': 72, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 17, -167, {'epochs': 75, 'units1': 148, 'act1': 'linear', 'units2': 53, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 10, -210, {'epochs': 151, 'units1': 182, 'act1': 'selu', 'units2': 65, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -203, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 55, 'units1': 6, 'act1': 'elu', 'units2': 241, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 10, -210, {'epochs': 196, 'units1': 275, 'act1': 'selu', 'units2': 153, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 84, 'units1': 206, 'act1': 'relu', 'units2': 143, 'act2': 'tanh', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 147, 'units1': 183, 'act1': 'selu', 'units2': 70, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
4, 224, 1002, {'epochs': 179, 'units1': 199, 'act1': 'selu', 'units2': 182, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 100, {'epochs': 144, 'units1': 191, 'act1': 'selu', 'units2': 72, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 148, 'units1': 190, 'act1': 'selu', 'units2': 79, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
