Generation: 12
1, 200, -237, {'epochs': 47, 'units1': 93, 'act1': 'tanh', 'units2': 34, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 106, {'epochs': 176, 'units1': 113, 'act1': 'selu', 'units2': 194, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -538, {'epochs': 193, 'units1': 59, 'act1': 'tanh', 'units2': 178, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 84, {'epochs': 233, 'units1': 247, 'act1': 'tanh', 'units2': 118, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -203, {'epochs': 225, 'units1': 35, 'act1': 'tanh', 'units2': 134, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -571, {'epochs': 271, 'units1': 228, 'act1': 'linear', 'units2': 269, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 12, -180, {'epochs': 88, 'units1': 267, 'act1': 'tanh', 'units2': 160, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 23, -205, {'epochs': 23, 'units1': 185, 'act1': 'linear', 'units2': 76, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 107, {'epochs': 86, 'units1': 233, 'act1': 'selu', 'units2': 91, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 107, {'epochs': 119, 'units1': 172, 'act1': 'elu', 'units2': 27, 'act2': 'relu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -195, {'epochs': 41, 'units1': 192, 'act1': 'linear', 'units2': 49, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
4, 246, 975, {'epochs': 97, 'units1': 43, 'act1': 'tanh', 'units2': 96, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 87, {'epochs': 46, 'units1': 98, 'act1': 'tanh', 'units2': 179, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 47, 'units1': 157, 'act1': 'tanh', 'units2': 146, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 21, 'units1': 191, 'act1': 'elu', 'units2': 67, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 106, -164, {'epochs': 224, 'units1': 241, 'act1': 'elu', 'units2': 114, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 10, -198, {'epochs': 79, 'units1': 173, 'act1': 'tanh', 'units2': 82, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
