Generation: 18
1, 200, -548, {'epochs': 160, 'units1': 16, 'act1': 'selu', 'units2': 101, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -571, {'epochs': 224, 'units1': 128, 'act1': 'tanh', 'units2': 117, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
2, 207, -10, {'epochs': 112, 'units1': 161, 'act1': 'elu', 'units2': 18, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 16, -172, {'epochs': 215, 'units1': 186, 'act1': 'elu', 'units2': 61, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 94, 'units1': 65, 'act1': 'linear', 'units2': 292, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -545, {'epochs': 0, 'units1': 161, 'act1': 'tanh', 'units2': 178, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 10, -183, {'epochs': 230, 'units1': 129, 'act1': 'linear', 'units2': 114, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
2, 21, 331, {'epochs': 63, 'units1': 237, 'act1': 'linear', 'units2': 2, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 80, 'units1': 225, 'act1': 'linear', 'units2': 50, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 107, {'epochs': 225, 'units1': 243, 'act1': 'elu', 'units2': 118, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -571, {'epochs': 166, 'units1': 17, 'act1': 'selu', 'units2': 98, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 31, -202, {'epochs': 161, 'units1': 301, 'act1': 'linear', 'units2': 85, 'act2': 'elu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 110, {'epochs': 231, 'units1': 143, 'act1': 'tanh', 'units2': 117, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -574, {'epochs': 0, 'units1': 184, 'act1': 'tanh', 'units2': 137, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 37, -186, {'epochs': 0, 'units1': 28, 'act1': 'linear', 'units2': 223, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 32, 'units1': 92, 'act1': 'tanh', 'units2': 159, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 81, {'epochs': 6, 'units1': 169, 'act1': 'tanh', 'units2': 187, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 107, {'epochs': 197, 'units1': 131, 'act1': 'linear', 'units2': 89, 'act2': 'elu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 40, -210, {'epochs': 239, 'units1': 141, 'act1': 'linear', 'units2': 114, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
5, 195, 1777, {'epochs': 168, 'units1': 105, 'act1': 'elu', 'units2': 56, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 63, 'units1': 225, 'act1': 'elu', 'units2': 6, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 22, -195, {'epochs': 166, 'units1': 20, 'act1': 'tanh', 'units2': 107, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 18, -194, {'epochs': 207, 'units1': 161, 'act1': 'selu', 'units2': 214, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 239, 'units1': 141, 'act1': 'linear', 'units2': 114, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
