Generation: 1
1, 19, -198, {'epochs': 85, 'units1': 77, 'act1': 'linear', 'units2': 150, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 198, 'units1': 44, 'act1': 'selu', 'units2': 84, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 84, 'units1': 114, 'act1': 'relu', 'units2': 90, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 112, 'units1': 17, 'act1': 'elu', 'units2': 49, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
6, 71, 2361, {'epochs': 248, 'units1': 221, 'act1': 'selu', 'units2': 125, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 125, 'units1': 41, 'act1': 'elu', 'units2': 137, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
4, 347, -66410, {'epochs': 146, 'units1': 157, 'act1': 'tanh', 'units2': 179, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 90, {'epochs': 152, 'units1': 249, 'act1': 'linear', 'units2': 111, 'act2': 'softmax', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 100, 'units1': 153, 'act1': 'sigmoid', 'units2': 203, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 181, 'units1': 59, 'act1': 'relu', 'units2': 168, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
4, 41, 320, {'epochs': 61, 'units1': 67, 'act1': 'elu', 'units2': 173, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 91, 'units1': 176, 'act1': 'tanh', 'units2': 179, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 11, -206, {'epochs': 67, 'units1': 129, 'act1': 'tanh', 'units2': 205, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -185, {'epochs': 37, 'units1': 54, 'act1': 'tanh', 'units2': 49, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 7, 'units1': 148, 'act1': 'tanh', 'units2': 158, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 66, -179, {'epochs': 107, 'units1': 183, 'act1': 'linear', 'units2': 225, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
