Generation: 2
1, 9, -212, {'epochs': 248, 'units1': 221, 'act1': 'selu', 'units2': 125, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 19, -166, {'epochs': 236, 'units1': 24, 'act1': 'tanh', 'units2': 34, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 98, 'units1': 26, 'act1': 'tanh', 'units2': 130, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 92, 'units1': 198, 'act1': 'relu', 'units2': 153, 'act2': 'relu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 1, 'units1': 89, 'act1': 'relu', 'units2': 237, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 18, -206, {'epochs': 61, 'units1': 67, 'act1': 'elu', 'units2': 173, 'act2': 'linear', 'act3': 'softmax', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 2, 'units1': 91, 'act1': 'linear', 'units2': 207, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -200, {'epochs': 71, 'units1': 137, 'act1': 'linear', 'units2': 241, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -62916, {'epochs': 230, 'units1': 130, 'act1': 'tanh', 'units2': 197, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -185, {'epochs': 249, 'units1': 102, 'act1': 'linear', 'units2': 51, 'act2': 'elu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
3, 31, 821, {'epochs': 75, 'units1': 212, 'act1': 'selu', 'units2': 141, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 24, 'units1': 82, 'act1': 'relu', 'units2': 53, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -60904, {'epochs': 222, 'units1': 75, 'act1': 'elu', 'units2': 161, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
