Generation: 17
1, 18, -194, {'epochs': 137, 'units1': 127, 'act1': 'elu', 'units2': 4, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 143, 'units1': 213, 'act1': 'selu', 'units2': 35, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 21, -194, {'epochs': 184, 'units1': 179, 'act1': 'selu', 'units2': 95, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
2, 207, 608, {'epochs': 233, 'units1': 159, 'act1': 'linear', 'units2': 52, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 21, -197, {'epochs': 117, 'units1': 45, 'act1': 'selu', 'units2': 102, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 24, -194, {'epochs': 140, 'units1': 112, 'act1': 'elu', 'units2': 5, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 10, -213, {'epochs': 214, 'units1': 6, 'act1': 'selu', 'units2': 118, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 116, -147, {'epochs': 133, 'units1': 116, 'act1': 'selu', 'units2': 7, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
2, 256, 593, {'epochs': 91, 'units1': 3, 'act1': 'elu', 'units2': 155, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 36, -203, {'epochs': 102, 'units1': 54, 'act1': 'tanh', 'units2': 166, 'act2': 'elu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
5, 117, 1904, {'epochs': 246, 'units1': 198, 'act1': 'linear', 'units2': 102, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 139, 'units1': 115, 'act1': 'elu', 'units2': 11, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -66904, {'epochs': 101, 'units1': 45, 'act1': 'linear', 'units2': 198, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 15, -191, {'epochs': 90, 'units1': 271, 'act1': 'elu', 'units2': 149, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 101, 'units1': 45, 'act1': 'tanh', 'units2': 198, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 107, 'units1': 51, 'act1': 'tanh', 'units2': 171, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 19, -207, {'epochs': 111, 'units1': 32, 'act1': 'tanh', 'units2': 203, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 10, -210, {'epochs': 97, 'units1': 53, 'act1': 'elu', 'units2': 174, 'act2': 'tanh', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 229, 'units1': 157, 'act1': 'linear', 'units2': 54, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66904, {'epochs': 89, 'units1': 4, 'act1': 'elu', 'units2': 150, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 18, -221, {'epochs': 249, 'units1': 207, 'act1': 'linear', 'units2': 100, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 9, 'units1': 172, 'act1': 'elu', 'units2': 21, 'act2': 'linear', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -62886, {'epochs': 130, 'units1': 115, 'act1': 'selu', 'units2': 11, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 122, {'epochs': 2, 'units1': 3, 'act1': 'elu', 'units2': 59, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, 122, {'epochs': 252, 'units1': 192, 'act1': 'linear', 'units2': 101, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
