Generation: 25
1, 21, -194, {'epochs': 37, 'units1': 189, 'act1': 'linear', 'units2': 134, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 122, 'units1': 33, 'act1': 'selu', 'units2': 110, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 110, {'epochs': 231, 'units1': 147, 'act1': 'linear', 'units2': 62, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -65898, {'epochs': 201, 'units1': 32, 'act1': 'selu', 'units2': 142, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 28, -192, {'epochs': 247, 'units1': 252, 'act1': 'selu', 'units2': 119, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 28, -192, {'epochs': 98, 'units1': 35, 'act1': 'linear', 'units2': 203, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 107, 'units1': 35, 'act1': 'tanh', 'units2': 203, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, -884, {'epochs': 113, 'units1': 41, 'act1': 'selu', 'units2': 102, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
8, 78, 3382, {'epochs': 11, 'units1': 15, 'act1': 'linear', 'units2': 50, 'act2': 'elu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 116, {'epochs': 188, 'units1': 180, 'act1': 'selu', 'units2': 82, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -200, {'epochs': 185, 'units1': 191, 'act1': 'selu', 'units2': 84, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
4, 63, 1375, {'epochs': 229, 'units1': 255, 'act1': 'elu', 'units2': 125, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 201, 'units1': 47, 'act1': 'selu', 'units2': 132, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, -65898, {'epochs': 12, 'units1': 240, 'act1': 'selu', 'units2': 229, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 18, -197, {'epochs': 110, 'units1': 63, 'act1': 'tanh', 'units2': 172, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 236, 'units1': 152, 'act1': 'linear', 'units2': 52, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 50, 'units1': 35, 'act1': 'elu', 'units2': 107, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 14, -205, {'epochs': 249, 'units1': 207, 'act1': 'linear', 'units2': 100, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
