Generation: 32
1, 18, -194, {'epochs': 229, 'units1': 157, 'act1': 'linear', 'units2': 54, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
2, 10, 305, {'epochs': 178, 'units1': 181, 'act1': 'selu', 'units2': 80, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 81, {'epochs': 155, 'units1': 89, 'act1': 'selu', 'units2': 143, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -64895, {'epochs': 236, 'units1': 152, 'act1': 'linear', 'units2': 52, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 127, 'units1': 37, 'act1': 'selu', 'units2': 99, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 102, {'epochs': 34, 'units1': 214, 'act1': 'linear', 'units2': 173, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 178, 'units1': 195, 'act1': 'tanh', 'units2': 155, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 104, {'epochs': 197, 'units1': 45, 'act1': 'selu', 'units2': 134, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 20, -220, {'epochs': 158, 'units1': 255, 'act1': 'tanh', 'units2': 76, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 152, 'units1': 187, 'act1': 'tanh', 'units2': 127, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 157, 'units1': 90, 'act1': 'elu', 'units2': 204, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 47, 'units1': 213, 'act1': 'linear', 'units2': 163, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 232, 'units1': 211, 'act1': 'tanh', 'units2': 79, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
2, 205, -66400, {'epochs': 181, 'units1': 205, 'act1': 'tanh', 'units2': 150, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
2, 19, 310, {'epochs': 106, 'units1': 28, 'act1': 'linear', 'units2': 172, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 200, 112, {'epochs': 191, 'units1': 53, 'act1': 'selu', 'units2': 147, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 181, 'units1': 205, 'act1': 'tanh', 'units2': 150, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 196, 'units1': 232, 'act1': 'selu', 'units2': 87, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 107, {'epochs': 178, 'units1': 132, 'act1': 'tanh', 'units2': 217, 'act2': 'linear', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 81, 'units1': 9, 'act1': 'elu', 'units2': 150, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, 112, {'epochs': 98, 'units1': 20, 'act1': 'linear', 'units2': 169, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -59931, {'epochs': 194, 'units1': 228, 'act1': 'selu', 'units2': 89, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 22, -198, {'epochs': 229, 'units1': 217, 'act1': 'elu', 'units2': 73, 'act2': 'tanh', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -195, {'epochs': 188, 'units1': 52, 'act1': 'selu', 'units2': 146, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
2, 68, -681, {'epochs': 31, 'units1': 37, 'act1': 'linear', 'units2': 147, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
