Generation: 33
1, 9, -212, {'epochs': 43, 'units1': 223, 'act1': 'linear', 'units2': 162, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 18, -194, {'epochs': 124, 'units1': 40, 'act1': 'selu', 'units2': 100, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 11, -208, {'epochs': 214, 'units1': 60, 'act1': 'selu', 'units2': 184, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 36, -212, {'epochs': 205, 'units1': 46, 'act1': 'selu', 'units2': 140, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 16, -187, {'epochs': 233, 'units1': 223, 'act1': 'elu', 'units2': 68, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 230, 'units1': 156, 'act1': 'linear', 'units2': 56, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 99, {'epochs': 148, 'units1': 46, 'act1': 'selu', 'units2': 128, 'act2': 'selu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 153, 'units1': 140, 'act1': 'elu', 'units2': 229, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -61648, {'epochs': 169, 'units1': 76, 'act1': 'tanh', 'units2': 85, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -59928, {'epochs': 206, 'units1': 235, 'act1': 'elu', 'units2': 81, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 122, {'epochs': 106, 'units1': 28, 'act1': 'linear', 'units2': 172, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
