Generation: 41
1, 9, -212, {'epochs': 117, 'units1': 73, 'act1': 'selu', 'units2': 153, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
2, 201, 626, {'epochs': 28, 'units1': 40, 'act1': 'linear', 'units2': 148, 'act2': 'linear', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 145, 'units1': 143, 'act1': 'elu', 'units2': 239, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 28, -192, {'epochs': 126, 'units1': 56, 'act1': 'elu', 'units2': 249, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 81, 'units1': 57, 'act1': 'linear', 'units2': 86, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 220, 'units1': 133, 'act1': 'tanh', 'units2': 226, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -188, {'epochs': 37, 'units1': 29, 'act1': 'linear', 'units2': 102, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 10, -210, {'epochs': 126, 'units1': 40, 'act1': 'selu', 'units2': 105, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 21, -1197, {'epochs': 102, 'units1': 28, 'act1': 'linear', 'units2': 168, 'act2': 'linear', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -64895, {'epochs': 113, 'units1': 47, 'act1': 'selu', 'units2': 111, 'act2': 'selu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 116, {'epochs': 114, 'units1': 35, 'act1': 'selu', 'units2': 107, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 10, -210, {'epochs': 118, 'units1': 249, 'act1': 'linear', 'units2': 189, 'act2': 'linear', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 174, 'units1': 75, 'act1': 'tanh', 'units2': 81, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 11, -211, {'epochs': 216, 'units1': 129, 'act1': 'tanh', 'units2': 234, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 100, 'units1': 40, 'act1': 'linear', 'units2': 199, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
4, 50, 1348, {'epochs': 36, 'units1': 209, 'act1': 'linear', 'units2': 165, 'act2': 'linear', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -194, {'epochs': 73, 'units1': 149, 'act1': 'tanh', 'units2': 26, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 182, 'units1': 185, 'act1': 'selu', 'units2': 82, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 13, -1186, {'epochs': 76, 'units1': 149, 'act1': 'tanh', 'units2': 18, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
3, 43, 844, {'epochs': 98, 'units1': 84, 'act1': 'elu', 'units2': 201, 'act2': 'elu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
