Generation: 7
1, 9, -212, {'epochs': 118, 'units1': 56, 'act1': 'tanh', 'units2': 205, 'act2': 'linear', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
2, 207, 631, {'epochs': 165, 'units1': 255, 'act1': 'elu', 'units2': 213, 'act2': 'elu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 113, {'epochs': 101, 'units1': 13, 'act1': 'linear', 'units2': 166, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 20, -196, {'epochs': 245, 'units1': 212, 'act1': 'selu', 'units2': 119, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 119, {'epochs': 161, 'units1': 247, 'act1': 'relu', 'units2': 18, 'act2': 'elu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 119, {'epochs': 101, 'units1': 160, 'act1': 'relu', 'units2': 174, 'act2': 'linear', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 229, 'units1': 221, 'act1': 'relu', 'units2': 118, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -64895, {'epochs': 245, 'units1': 125, 'act1': 'tanh', 'units2': 198, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
6, 65, 2376, {'epochs': 150, 'units1': 125, 'act1': 'tanh', 'units2': 259, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
4, 235, -65366, {'epochs': 101, 'units1': 45, 'act1': 'tanh', 'units2': 198, 'act2': 'linear', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 10, -213, {'epochs': 140, 'units1': 209, 'act1': 'tanh', 'units2': 225, 'act2': 'elu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
