Generation: 1
2, 210, 663, {'epochs': 98, 'units1': 21, 'act1': 'sigmoid', 'units2': 93, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 3, 'units1': 66, 'act1': 'selu', 'units2': 181, 'act2': 'softmax', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
7, 85, 2895, {'epochs': 37, 'units1': 92, 'act1': 'tanh', 'units2': 84, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -206, {'epochs': 17, 'units1': 21, 'act1': 'linear', 'units2': 180, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, 107, {'epochs': 119, 'units1': 40, 'act1': 'linear', 'units2': 218, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 249, 'units1': 151, 'act1': 'tanh', 'units2': 214, 'act2': 'elu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 239, 'units1': 26, 'act1': 'softmax', 'units2': 194, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -213, {'epochs': 233, 'units1': 155, 'act1': 'selu', 'units2': 6, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 110, {'epochs': 101, 'units1': 17, 'act1': 'elu', 'units2': 253, 'act2': 'selu', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 19, -198, {'epochs': 69, 'units1': 12, 'act1': 'linear', 'units2': 104, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 18, -197, {'epochs': 195, 'units1': 166, 'act1': 'selu', 'units2': 124, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -197, {'epochs': 222, 'units1': 150, 'act1': 'selu', 'units2': 18, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 12, -180, {'epochs': 195, 'units1': 227, 'act1': 'linear', 'units2': 111, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 18, -197, {'epochs': 203, 'units1': 90, 'act1': 'elu', 'units2': 243, 'act2': 'linear', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -200, {'epochs': 206, 'units1': 104, 'act1': 'selu', 'units2': 145, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 122, {'epochs': 84, 'units1': 140, 'act1': 'linear', 'units2': 217, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66904, {'epochs': 247, 'units1': 62, 'act1': 'linear', 'units2': 18, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 115, 'units1': 250, 'act1': 'tanh', 'units2': 20, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -63895, {'epochs': 237, 'units1': 208, 'act1': 'tanh', 'units2': 219, 'act2': 'elu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -191, {'epochs': 6, 'units1': 11, 'act1': 'softmax', 'units2': 240, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 140, 'units1': 187, 'act1': 'relu', 'units2': 159, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 9, -188, {'epochs': 115, 'units1': 210, 'act1': 'softmax', 'units2': 221, 'act2': 'sigmoid', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 174, 'units1': 17, 'act1': 'relu', 'units2': 122, 'act2': 'softmax', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 44, 'units1': 72, 'act1': 'relu', 'units2': 244, 'act2': 'softmax', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 250, 'units1': 210, 'act1': 'linear', 'units2': 221, 'act2': 'selu', 'act3': 'softmax', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 216, 'units1': 128, 'act1': 'relu', 'units2': 155, 'act2': 'sigmoid', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
2, 270, 599, {'epochs': 66, 'units1': 5, 'act1': 'linear', 'units2': 41, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 10, -186, {'epochs': 16, 'units1': 248, 'act1': 'tanh', 'units2': 64, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 19, 'units1': 125, 'act1': 'softmax', 'units2': 235, 'act2': 'elu', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, -66901, {'epochs': 39, 'units1': 184, 'act1': 'relu', 'units2': 52, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
7, 79, 861, {'epochs': 250, 'units1': 231, 'act1': 'linear', 'units2': 6, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 84, {'epochs': 124, 'units1': 102, 'act1': 'linear', 'units2': 37, 'act2': 'softmax', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 162, 'units1': 241, 'act1': 'selu', 'units2': 228, 'act2': 'softmax', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 9, -200, {'epochs': 46, 'units1': 236, 'act1': 'linear', 'units2': 26, 'act2': 'relu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 17, -167, {'epochs': 209, 'units1': 172, 'act1': 'linear', 'units2': 130, 'act2': 'linear', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, 112, {'epochs': 218, 'units1': 204, 'act1': 'linear', 'units2': 115, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 162, 'units1': 129, 'act1': 'selu', 'units2': 176, 'act2': 'softmax', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 188, 'units1': 185, 'act1': 'tanh', 'units2': 130, 'act2': 'selu', 'act3': 'relu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 89, 'units1': 2, 'act1': 'selu', 'units2': 105, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, 119, {'epochs': 188, 'units1': 171, 'act1': 'relu', 'units2': 114, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 120, 'units1': 196, 'act1': 'sigmoid', 'units2': 122, 'act2': 'tanh', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 9, -188, {'epochs': 221, 'units1': 95, 'act1': 'linear', 'units2': 117, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -66901, {'epochs': 89, 'units1': 72, 'act1': 'sigmoid', 'units2': 151, 'act2': 'relu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 9, -194, {'epochs': 19, 'units1': 191, 'act1': 'softmax', 'units2': 102, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 11, 'units1': 235, 'act1': 'elu', 'units2': 122, 'act2': 'linear', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -203, {'epochs': 144, 'units1': 206, 'act1': 'selu', 'units2': 210, 'act2': 'softmax', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 246, 'units1': 2, 'act1': 'elu', 'units2': 70, 'act2': 'sigmoid', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 206, 'units1': 151, 'act1': 'relu', 'units2': 217, 'act2': 'selu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 72, 'units1': 112, 'act1': 'tanh', 'units2': 39, 'act2': 'softmax', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 207, 'units1': 158, 'act1': 'softmax', 'units2': 20, 'act2': 'selu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -67904, {'epochs': 154, 'units1': 248, 'act1': 'elu', 'units2': 38, 'act2': 'softmax', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 123, 'units1': 198, 'act1': 'elu', 'units2': 138, 'act2': 'softmax', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 10, -183, {'epochs': 109, 'units1': 58, 'act1': 'tanh', 'units2': 96, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 1, 'units1': 69, 'act1': 'selu', 'units2': 59, 'act2': 'elu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 14, -205, {'epochs': 184, 'units1': 236, 'act1': 'linear', 'units2': 224, 'act2': 'tanh', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 200, 110, {'epochs': 58, 'units1': 211, 'act1': 'tanh', 'units2': 63, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 27, 'units1': 115, 'act1': 'tanh', 'units2': 123, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
