Generation: 2
1, 200, -66646, {'epochs': 37, 'units1': 92, 'act1': 'tanh', 'units2': 84, 'act2': 'relu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 9, 315, {'epochs': 99, 'units1': 150, 'act1': 'linear', 'units2': 15, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 132, 'units1': 32, 'act1': 'elu', 'units2': 197, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
2, 12, 310, {'epochs': 122, 'units1': 247, 'act1': 'tanh', 'units2': 184, 'act2': 'tanh', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
1, 19, -216, {'epochs': 126, 'units1': 227, 'act1': 'tanh', 'units2': 34, 'act2': 'relu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, 135, {'epochs': 17, 'units1': 145, 'act1': 'elu', 'units2': 239, 'act2': 'selu', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 249, 'units1': 187, 'act1': 'tanh', 'units2': 225, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adagrad'}
1, 9, -212, {'epochs': 250, 'units1': 231, 'act1': 'linear', 'units2': 6, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 18, -194, {'epochs': 200, 'units1': 124, 'act1': 'selu', 'units2': 87, 'act2': 'relu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 98, 'units1': 21, 'act1': 'sigmoid', 'units2': 93, 'act2': 'elu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 96, {'epochs': 66, 'units1': 5, 'act1': 'linear', 'units2': 41, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 151, 'units1': 143, 'act1': 'sigmoid', 'units2': 84, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 17, -196, {'epochs': 125, 'units1': 36, 'act1': 'tanh', 'units2': 187, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, -66901, {'epochs': 72, 'units1': 10, 'act1': 'selu', 'units2': 148, 'act2': 'tanh', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 13, 'units1': 238, 'act1': 'elu', 'units2': 46, 'act2': 'relu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 10, 'units1': 186, 'act1': 'tanh', 'units2': 63, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 30, 'units1': 144, 'act1': 'relu', 'units2': 121, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 28, -192, {'epochs': 84, 'units1': 140, 'act1': 'linear', 'units2': 217, 'act2': 'selu', 'act3': 'relu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 9, -203, {'epochs': 188, 'units1': 171, 'act1': 'relu', 'units2': 114, 'act2': 'relu', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
