Generation: 9
1, 200, -62916, {'epochs': 202, 'units1': 140, 'act1': 'elu', 'units2': 19, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, 104, {'epochs': 195, 'units1': 133, 'act1': 'selu', 'units2': 18, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
1, 200, 104, {'epochs': 3, 'units1': 181, 'act1': 'selu', 'units2': 50, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -212, {'epochs': 377, 'units1': 381, 'act1': 'elu', 'units2': 144, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 104, {'epochs': 199, 'units1': 143, 'act1': 'elu', 'units2': 20, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -216, {'epochs': 409, 'units1': 237, 'act1': 'tanh', 'units2': 368, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 22, -195, {'epochs': 250, 'units1': 188, 'act1': 'tanh', 'units2': 227, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
16, 166, 7472, {'epochs': 203, 'units1': 132, 'act1': 'elu', 'units2': 31, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'adam'}
1, 10, -213, {'epochs': 293, 'units1': 252, 'act1': 'tanh', 'units2': 356, 'act2': 'selu', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 244, 'units1': 188, 'act1': 'tanh', 'units2': 233, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
5, 92, 842, {'epochs': 203, 'units1': 139, 'act1': 'selu', 'units2': 26, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 116, {'epochs': 195, 'units1': 133, 'act1': 'selu', 'units2': 18, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
1, 200, -66901, {'epochs': 180, 'units1': 44, 'act1': 'selu', 'units2': 169, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 19, -207, {'epochs': 220, 'units1': 256, 'act1': 'tanh', 'units2': 166, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 10, -189, {'epochs': 187, 'units1': 36, 'act1': 'elu', 'units2': 175, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 19, -195, {'epochs': 257, 'units1': 251, 'act1': 'linear', 'units2': 187, 'act2': 'selu', 'act3': 'linear', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, 96, {'epochs': 203, 'units1': 132, 'act1': 'elu', 'units2': 31, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
1, 200, 130, {'epochs': 218, 'units1': 199, 'act1': 'linear', 'units2': 118, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 199, 'units1': 143, 'act1': 'selu', 'units2': 24, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 200, -62916, {'epochs': 143, 'units1': 221, 'act1': 'tanh', 'units2': 241, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, 107, {'epochs': 247, 'units1': 191, 'act1': 'tanh', 'units2': 228, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, 107, {'epochs': 10, 'units1': 87, 'act1': 'tanh', 'units2': 70, 'act2': 'selu', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
3, 23, -185, {'epochs': 36, 'units1': 44, 'act1': 'selu', 'units2': 201, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 20, -193, {'epochs': 188, 'units1': 43, 'act1': 'selu', 'units2': 162, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 116, {'epochs': 183, 'units1': 47, 'act1': 'elu', 'units2': 164, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 21, -194, {'epochs': 197, 'units1': 137, 'act1': 'elu', 'units2': 29, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -188, {'epochs': 240, 'units1': 187, 'act1': 'tanh', 'units2': 239, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
2, 216, 625, {'epochs': 251, 'units1': 187, 'act1': 'tanh', 'units2': 234, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 10, 287, {'epochs': 251, 'units1': 180, 'act1': 'tanh', 'units2': 239, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
2, 307, 573, {'epochs': 414, 'units1': 226, 'act1': 'elu', 'units2': 30, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 9, -198, {'epochs': 207, 'units1': 141, 'act1': 'elu', 'units2': 17, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 181, 'units1': 41, 'act1': 'elu', 'units2': 173, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 200, -64901, {'epochs': 13, 'units1': 186, 'act1': 'tanh', 'units2': 56, 'act2': 'selu', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 200, -67904, {'epochs': 157, 'units1': 234, 'act1': 'linear', 'units2': 8, 'act2': 'selu', 'act3': 'linear', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 19, -222, {'epochs': 186, 'units1': 44, 'act1': 'elu', 'units2': 163, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'sgd'}
1, 200, 141, {'epochs': 204, 'units1': 139, 'act1': 'selu', 'units2': 18, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 18, -194, {'epochs': 203, 'units1': 139, 'act1': 'elu', 'units2': 26, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
1, 10, -210, {'epochs': 191, 'units1': 45, 'act1': 'selu', 'units2': 161, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'nadam'}
1, 200, -58904, {'epochs': 3, 'units1': 85, 'act1': 'tanh', 'units2': 66, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -66904, {'epochs': 316, 'units1': 377, 'act1': 'tanh', 'units2': 434, 'act2': 'selu', 'act3': 'tanh', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 10, -213, {'epochs': 391, 'units1': 253, 'act1': 'selu', 'units2': 167, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adam'}
1, 200, -57892, {'epochs': 215, 'units1': 207, 'act1': 'selu', 'units2': 116, 'act2': 'linear', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
17, 403, 7988, {'epochs': 188, 'units1': 43, 'act1': 'selu', 'units2': 162, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 9, -200, {'epochs': 181, 'units1': 41, 'act1': 'elu', 'units2': 173, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 18, -221, {'epochs': 314, 'units1': 306, 'act1': 'selu', 'units2': 257, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adagrad'}
1, 200, 122, {'epochs': 203, 'units1': 139, 'act1': 'selu', 'units2': 26, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
2, 15, 312, {'epochs': 186, 'units1': 44, 'act1': 'elu', 'units2': 163, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
1, 200, -881, {'epochs': 204, 'units1': 139, 'act1': 'selu', 'units2': 18, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 200, -60904, {'epochs': 202, 'units1': 140, 'act1': 'elu', 'units2': 19, 'act2': 'selu', 'act3': 'elu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 195, 'units1': 133, 'act1': 'selu', 'units2': 18, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 200, 119, {'epochs': 189, 'units1': 42, 'act1': 'selu', 'units2': 168, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adagrad'}
1, 9, -191, {'epochs': 11, 'units1': 180, 'act1': 'selu', 'units2': 63, 'act2': 'tanh', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 124, 'units1': 123, 'act1': 'selu', 'units2': 146, 'act2': 'elu', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, 104, {'epochs': 185, 'units1': 45, 'act1': 'elu', 'units2': 160, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
2, 203, 621, {'epochs': 188, 'units1': 43, 'act1': 'elu', 'units2': 162, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 200, 113, {'epochs': 223, 'units1': 61, 'act1': 'tanh', 'units2': 145, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'adam'}
1, 19, -219, {'epochs': 207, 'units1': 141, 'act1': 'selu', 'units2': 17, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 10, -186, {'epochs': 135, 'units1': 223, 'act1': 'selu', 'units2': 244, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
4, 371, -65152, {'epochs': 191, 'units1': 45, 'act1': 'elu', 'units2': 161, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adadelta'}
4, 72, 1331, {'epochs': 188, 'units1': 43, 'act1': 'elu', 'units2': 162, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 200, 113, {'epochs': 141, 'units1': 218, 'act1': 'selu', 'units2': 248, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 9, -209, {'epochs': 159, 'units1': 237, 'act1': 'selu', 'units2': 1, 'act2': 'linear', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, -60907, {'epochs': 243, 'units1': 181, 'act1': 'tanh', 'units2': 226, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 199, 'units1': 143, 'act1': 'elu', 'units2': 20, 'act2': 'selu', 'act3': 'elu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -185, {'epochs': 139, 'units1': 219, 'act1': 'selu', 'units2': 250, 'act2': 'tanh', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 200, -62892, {'epochs': 207, 'units1': 141, 'act1': 'selu', 'units2': 17, 'act2': 'elu', 'act3': 'selu', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -213, {'epochs': 218, 'units1': 12, 'act1': 'tanh', 'units2': 163, 'act2': 'tanh', 'act3': 'tanh', 'loss': 'binary_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 204, 'units1': 128, 'act1': 'selu', 'units2': 22, 'act2': 'elu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 98, -156, {'epochs': 205, 'units1': 138, 'act1': 'elu', 'units2': 24, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, 113, {'epochs': 7, 'units1': 191, 'act1': 'selu', 'units2': 56, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 200, 113, {'epochs': 205, 'units1': 138, 'act1': 'selu', 'units2': 24, 'act2': 'elu', 'act3': 'selu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adamax'}
1, 10, -198, {'epochs': 10, 'units1': 188, 'act1': 'selu', 'units2': 51, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_absolute_error', 'optimizer': 'adam'}
1, 200, 110, {'epochs': 35, 'units1': 245, 'act1': 'selu', 'units2': 98, 'act2': 'tanh', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'sgd'}
