Generation: 2
1, 200, -65901, {'epochs': 140, 'units1': 264, 'act1': 'selu', 'units2': 194, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
1, 200, -66904, {'epochs': 112, 'units1': 57, 'act1': 'linear', 'units2': 238, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 245, 'units1': 131, 'act1': 'tanh', 'units2': 11, 'act2': 'linear', 'act3': 'sigmoid', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 18, -221, {'epochs': 235, 'units1': 115, 'act1': 'linear', 'units2': 55, 'act2': 'relu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
1, 18, -194, {'epochs': 69, 'units1': 235, 'act1': 'elu', 'units2': 90, 'act2': 'tanh', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'rmsprop'}
2, 22, 326, {'epochs': 204, 'units1': 126, 'act1': 'linear', 'units2': 133, 'act2': 'selu', 'act3': 'elu', 'loss': 'categorical_crossentropy', 'optimizer': 'rmsprop'}
1, 9, -212, {'epochs': 122, 'units1': 115, 'act1': 'linear', 'units2': 23, 'act2': 'relu', 'act3': 'softmax', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 10, -213, {'epochs': 199, 'units1': 189, 'act1': 'elu', 'units2': 121, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'adamax'}
1, 200, 98, {'epochs': 59, 'units1': 232, 'act1': 'selu', 'units2': 148, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -212, {'epochs': 78, 'units1': 239, 'act1': 'elu', 'units2': 159, 'act2': 'linear', 'act3': 'relu', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 227, 'units1': 65, 'act1': 'selu', 'units2': 169, 'act2': 'selu', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'nadam'}
