Generation: 1
1, 200, -66904, {'epochs': 181, 'units1': 39, 'act1': 'sigmoid', 'units2': 114, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'categorical_crossentropy', 'optimizer': 'sgd'}
2, 44, 311, {'epochs': 59, 'units1': 14, 'act1': 'linear', 'units2': 70, 'act2': 'relu', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -66904, {'epochs': 78, 'units1': 186, 'act1': 'relu', 'units2': 174, 'act2': 'sigmoid', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 189, 'units1': 232, 'act1': 'linear', 'units2': 57, 'act2': 'tanh', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adadelta'}
1, 20, -199, {'epochs': 87, 'units1': 165, 'act1': 'relu', 'units2': 94, 'act2': 'relu', 'act3': 'relu', 'loss': 'binary_crossentropy', 'optimizer': 'adadelta'}
1, 9, -212, {'epochs': 68, 'units1': 39, 'act1': 'elu', 'units2': 14, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_absolute_error', 'optimizer': 'adagrad'}
1, 200, -66901, {'epochs': 183, 'units1': 215, 'act1': 'sigmoid', 'units2': 149, 'act2': 'tanh', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'nadam'}
1, 200, -66904, {'epochs': 159, 'units1': 35, 'act1': 'tanh', 'units2': 151, 'act2': 'tanh', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 64, 'units1': 248, 'act1': 'sigmoid', 'units2': 220, 'act2': 'relu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adam'}
3, 43, 821, {'epochs': 18, 'units1': 60, 'act1': 'elu', 'units2': 46, 'act2': 'linear', 'act3': 'elu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 38, -211, {'epochs': 1, 'units1': 192, 'act1': 'relu', 'units2': 15, 'act2': 'elu', 'act3': 'sigmoid', 'loss': 'mean_squared_error', 'optimizer': 'nadam'}
1, 9, -212, {'epochs': 67, 'units1': 103, 'act1': 'softmax', 'units2': 107, 'act2': 'selu', 'act3': 'linear', 'loss': 'sparse_categorical_crossentropy', 'optimizer': 'adadelta'}
5, 64, 1857, {'epochs': 157, 'units1': 103, 'act1': 'selu', 'units2': 76, 'act2': 'elu', 'act3': 'relu', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 9, -197, {'epochs': 230, 'units1': 180, 'act1': 'selu', 'units2': 160, 'act2': 'softmax', 'act3': 'sigmoid', 'loss': 'categorical_crossentropy', 'optimizer': 'adamax'}
2, 34, 311, {'epochs': 246, 'units1': 18, 'act1': 'linear', 'units2': 176, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_squared_error', 'optimizer': 'adagrad'}
10, 126, 3430, {'epochs': 189, 'units1': 171, 'act1': 'relu', 'units2': 179, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 200, -66901, {'epochs': 29, 'units1': 18, 'act1': 'softmax', 'units2': 248, 'act2': 'tanh', 'act3': 'softmax', 'loss': 'mean_absolute_error', 'optimizer': 'sgd'}
1, 200, -66901, {'epochs': 235, 'units1': 188, 'act1': 'selu', 'units2': 95, 'act2': 'sigmoid', 'act3': 'linear', 'loss': 'mean_absolute_error', 'optimizer': 'rmsprop'}
1, 9, -194, {'epochs': 2, 'units1': 67, 'act1': 'linear', 'units2': 112, 'act2': 'selu', 'act3': 'selu', 'loss': 'binary_crossentropy', 'optimizer': 'adamax'}
1, 9, -212, {'epochs': 235, 'units1': 223, 'act1': 'sigmoid', 'units2': 208, 'act2': 'elu', 'act3': 'tanh', 'loss': 'mean_squared_error', 'optimizer': 'adadelta'}
13, 202, 6038, {'epochs': 149, 'units1': 102, 'act1': 'selu', 'units2': 37, 'act2': 'sigmoid', 'act3': 'selu', 'loss': 'mean_squared_error', 'optimizer': 'rmsprop'}
